Location,year,n_05_children_cou,n_emprelatedaycare_children_cou,n_exitfostercare_children_cou,n_fostercare_children_cou,n_suppnutrition_children_cou,n_tempassist_children_cou,n_totaln_children_cou,per100_childcareslots_children_cou,per1000_abuseneglect_children_cou,per1000_infantmortality_all_cou,per1000_juvarrest_children_cou,per1000_juvjusref_children_cou,per1000_lowbirthweight_all_cou,per1000_teenpreg1517_all_cou,per1000_teenpreg1519_all_cou,per1000_threatharm_children_cou,percent_adequateprenatcare_all_cou,percent_ageoutfostercare_children_cou,percent_amind_all_cou,percent_amind_children_cou,percent_asian_all_cou,percent_asian_children_cou,percent_black_all_cou,percent_black_children_cou,percent_cohortgrad_children_cou,percent_foodinsecure_children_cou,percent_fostercare_children_cou,percent_frl_children_cou,percent_g3mathprof_children_cou,percent_g3readprof_children_cou,percent_g8mathprof_children_cou,percent_g8readprof_children_cou,percent_hispanic_all_cou,percent_hispanic_children_cou,percent_homeless_children_cou,percent_immuniz4313_children_cou,percent_immuniz4313314_children_cou,percent_multi_all_cou,percent_multi_children_cou,percent_nohealthinsur_children_cou,percent_noschoolage34_children_cou,percent_pacisl_all_cou,percent_pacisl_children_cou,percent_poverty_children_cou,percent_stablefostercare_children_cou,percent_unemployed_all_cou,percent_white_all_cou,percent_white_children_cou
Malheur,2014,2595,134,75,210,3962,759,7644,NA,24.5,10.2,NA,26,NA,NA,43.4,NA,58.3,8,0.8,0.8,1.6,0.5,1.2,0.4,72.2,27.2,2.7,NA,52.4,57.4,57.7,59.3,33.1,50.2,8.4,NA,75.2,1.6,2.6,6.7,68,0,0,38.3,56.5,8.2,61.7,45.5
Malheur,2015,2593,128,61,187,3924,708,7654,NA,16,2.4,NA,28.1,NA,NA,44.8,NA,65.1,NA,0.9,0.8,1.6,0.4,1.1,0.3,84.2,24.7,2.4,70.9,35.8,36.3,33.4,47.9,33.2,49.8,7.4,NA,72.6,1.6,2.6,6,55,0,0,33.9,64.4,6.5,61.7,46
Malheur,2016,2119,132,77,191,3629,586,8004,NA,21.2,6.5,NA,27.7,NA,NA,38.2,NA,58.5,3.9,0.8,0.6,1.5,0.4,1.3,0.5,82.9,23.7,2.48,72.3,37.8,39.4,32.6,48,33.1,48.8,5.6,NA,70,1.6,2.6,4.6,57,0,0,31,52.3,5.6,61.6,47
Malheur,2017,2205,138,77,177,3602,555,7810,NA,NA,2.5,NA,26.5,NA,NA,40.7,NA,67.3,6.5,0.8,0.6,1.5,0.5,1.3,0.6,NA,23.1,3.12,72.1,NA,NA,NA,NA,34,54.8,NA,NA,73,1.6,2.7,NA,59,0,0.1,29.8,59.3,4.7,60.8,51.5
Malheur,2018,2205,111,NA,NA,4060,625,8004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.5,1.4,0.4,1.3,0.6,NA,NA,NA,71.9,NA,NA,NA,NA,34.4,49.8,NA,NA,NA,1.6,2.6,NA,NA,0,0.1,NA,NA,4.6,60.4,46
Marion,2014,26896,1681,382,1003,35805,7571,82929,NA,9.6,4.1,NA,17.5,NA,NA,32.1,NA,73.6,11,1,1,2,1.8,1,1.1,74.3,24.9,1.2,NA,49.9,55,65.8,61.7,25.7,40,2.2,NA,57,2.4,4.2,5.1,71,0.8,1.1,25.1,45.7,7.5,66.9,50.9
Marion,2015,26853,1595,334,907,34483,6000,83148,NA,9.9,5.2,NA,16.1,NA,NA,33.4,NA,74.6,8.7,1.1,1,2.1,1.7,1,1.1,74.2,23,1.1,61.7,36.3,36.8,40.3,51.7,26,40.3,2.6,NA,72.1,2.5,4.2,5.2,69,0.9,1.1,24.1,50.7,6.1,66.5,50.5
Marion,2016,22656,1564,352,848,33166,5248,83381,NA,15.1,4.6,NA,14.7,NA,NA,28.2,NA,75.1,9.4,1,0.9,2.1,1.8,1,1.1,73.6,21.2,1,61.7,36.2,33.3,37.9,50.7,26.2,40.6,2.8,NA,69,2.6,4.3,4.1,66,1,1.2,19.6,56,5.1,66.1,50.1
Marion,2017,22861,1633,328,595,30261,4063,84787,NA,NA,5.6,NA,13.4,NA,NA,27.9,NA,77.2,7,1,1,2.2,2.1,1.1,1.3,NA,19.4,1.01,63,NA,NA,NA,NA,26.7,45.3,NA,NA,71,2.6,4.9,NA,65,1,1.3,20.4,57.8,4.3,65.5,54.9
Marion,2018,23378,1543,NA,NA,27755,3900,85432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.9,2.3,1.9,1.1,1.3,NA,NA,NA,60.4,NA,NA,NA,NA,27,41.3,NA,NA,NA,2.7,4.5,NA,NA,0.9,1.2,NA,NA,4.3,65,49
Morrow,2014,962,30,8,23,1311,2,3133,NA,9.4,0,NA,14.4,NA,NA,38.2,NA,66.3,NA,1,0.7,0.6,0.3,0.5,0.8,83.7,23.7,0.7,NA,58.1,64,50.3,52.3,35.1,50.1,2.1,NA,74.2,1.9,2.3,7,65,0.3,0.2,22.3,40,7.1,60.6,45.7
Morrow,2015,940,28,6,26,1268,NA,3084,NA,13.7,5.8,NA,20.4,NA,NA,31,NA,59.1,NA,1.1,0.7,0.6,0.2,0.5,0.7,76,21.2,0.8,71.3,34.3,38.9,29.8,48.9,36,51,1.7,NA,75.8,1.7,2.1,6.4,64,0.2,0.3,22.9,60,5.8,59.9,45
Morrow,2016,824,33,20,30,1173,NA,3192,NA,6.2,6.1,NA,26.4,NA,NA,28.6,NA,68.7,10,1.1,0.8,0.5,0.3,0.7,1.1,84.5,19.7,0.99,71.2,37.4,40.9,33.8,48.7,36.3,50,1.9,NA,71,1.8,1.8,6,65,0.3,0.3,19.2,53.9,5,59.4,45.8
Morrow,2017,820,27,10,12,1134,166,3041,NA,NA,11.8,NA,16.6,NA,NA,42.3,NA,65.5,0,1.2,0.7,0.5,0.4,0.6,1.1,NA,18,0.62,70.3,NA,NA,NA,NA,36.2,55.8,NA,NA,69,1.9,2.3,NA,66,0.3,0.3,18.6,25,4.4,59.4,50.1
Morrow,2018,841,18,NA,NA,1309,141,3134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,0.9,0.5,0.3,0.6,1,NA,NA,NA,72.3,NA,NA,NA,NA,37.3,51.7,NA,NA,NA,1.8,1.9,NA,NA,0.2,0.3,NA,NA,4.3,58.3,44
Multnomah,2014,54894,3482,645,2253,54090,14032,153407,NA,12.5,5.1,NA,11.5,NA,NA,29.6,NA,77.5,14.4,0.8,0.7,7.1,7.2,5.3,6.9,70.6,23.6,1.5,NA,57.1,63.5,59.3,64.1,11.2,19.6,4.1,NA,64.9,3.7,7.7,3.9,51,0.6,0.8,23.2,50,6.1,71.3,57.1
Multnomah,2015,55480,3353,633,2131,50700,11660,154609,NA,12.7,4.7,NA,9.9,NA,NA,27.7,NA,78,16.4,0.8,0.7,7.4,7.2,5.3,7,72.1,21.9,1.4,54.9,45.1,46.4,44.5,56.2,11.3,19.5,4.3,NA,67.8,3.8,7.8,3,49,0.6,0.8,18.5,52.4,5,70.9,57
Multnomah,2016,46192,3536,563,1810,49103,10780,150651,NA,13.5,4.5,NA,8.8,NA,NA,22.8,NA,80.2,15.6,0.7,0.7,7.4,7.1,5.4,7.4,73.8,20.3,1.1800000000000002,53.3,41.6,43.8,46.8,60.5,11.4,19.5,4.3,NA,64,3.8,7.9,2.9,48,0.6,0.8,18.7,51.7,4.3,70.6,56.5
Multnomah,2017,45086,3855,593,1537,42372,8685,154317,NA,NA,5,NA,8.8,NA,NA,21.3,NA,79,17.4,0.7,0.8,7.7,8.2,5.6,8.6,NA,18.7,1.1900000000000002,52.6,NA,NA,NA,NA,11.6,21.6,NA,NA,66,3.9,8.8,NA,47,0.6,0.9,17.3,57.1,3.6,69.9,61.9
Multnomah,2018,43965,3684,NA,NA,38711,7718,152901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.7,8,7.6,5.7,8,NA,NA,NA,50,NA,NA,NA,NA,11.7,19.5,NA,NA,NA,4,8,NA,NA,0.6,0.8,NA,NA,3.7,69.3,55.4
Oregon,2014,276720,15258,4015,11443,285063,57664,858022,NA,11.6,5.1,NA,15.8,NA,NA,26.1,NA,76.9,8.9,1.1,1.2,4.1,4,1.8,2.1,72,24.5,1.3,NA,60,66,62,66,12.5,21.5,3.3,NA,65,3,5.8,4.6,59,0.4,0.5,21.6,55.3,6.9,77,64.9
Oregon,2015,278600,14119,3885,11238,271361,46892,862856,NA,12.1,4.9,NA,14.7,NA,NA,25.1,NA,79,10.2,1.1,1.2,4.3,4,1.8,2.2,73.8,22.5,1.3,51.1,45.6,45.6,42.9,56.9,12.7,21.7,3.6,NA,70,3.1,5.8,3.6,58,0.4,0.5,20.3,60,5.7,76.6,64.6
Oregon,2016,235800,14583,3679,10375,264223,42044,868727,NA,13.7,4.6,NA,13.6,NA,NA,22.7,NA,79.7,9,1.1,1.2,4.3,4.1,1.9,2.3,74.8,20,1.1900000000000002,49.7,47.5,47.4,42.4,57.2,12.8,20.3,3.8,NA,66,3.1,5.9,3.3,56,0.4,0.5,17.2,59.5,4.9,76.4,64
Oregon,2017,235968,15785,3821,7956,236437,34096,873619,NA,NA,5.4,NA,13.5,NA,NA,20.5,NA,79.9,9,1.1,1.3,4.5,4.7,1.9,2.6,NA,18.9,1.24,49.3,NA,NA,NA,NA,13.1,24.3,NA,NA,68,3.2,6.7,NA,56,0.4,0.5,16.5,62.3,4.1,75.8,71.1
Oregon,2018,234214,14840,NA,NA,228336,31908,873567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,1.2,4.7,4.3,2,2.4,NA,NA,NA,47,NA,NA,NA,NA,13.3,22.1,NA,NA,NA,3.3,6.1,NA,NA,0.4,0.5,NA,NA,4.4,75.3,63.4
Polk,2014,5456,276,95,200,4603,1010,18117,NA,8.4,9.4,NA,14.7,NA,NA,18.9,NA,76.5,6.3,1.8,2,1.9,1.6,0.6,0.8,69.8,23.5,1.1,NA,58.7,58.8,51.3,56.9,13,21.2,1.9,NA,59.5,2.9,5.2,5.1,69,0.3,0.3,17.2,58.7,6.9,79.5,68.9
Polk,2015,5468,265,71,169,4488,901,18243,NA,10,7,NA,12.4,NA,NA,17.2,NA,77.7,NA,1.8,2,1.9,1.6,0.7,0.9,77.7,21.6,0.9,49.7,38.2,31.5,44.4,52,13.3,21.4,2.1,NA,66.7,3,5.1,4.4,70,0.3,0.4,18.1,60.6,5.7,79.1,68.6
Polk,2016,4791,273,76,168,4499,830,18333,NA,13.1,8.2,NA,13.5,NA,NA,18.4,NA,79.7,5.3,1.8,2,1.8,1.5,0.9,1.4,80.6,20,0.88,49.7,41.7,44.5,33.3,46.6,13.7,22,2.5,NA,65,3,5.2,3.6,64,0.3,0.5,14,59.5,5.1,78.5,67.5
Polk,2017,4907,320,55,106,4066,895,19258,NA,NA,9.3,NA,12.9,NA,NA,15.9,NA,78.4,5.5,1.8,2.2,1.9,1.6,0.9,1.7,NA,18.7,0.77,52,NA,NA,NA,NA,14,25.7,NA,NA,64,3.1,6.2,NA,66,0.3,0.5,16.4,59.4,4.3,78,77.1
Polk,2018,4901,309,NA,NA,4210,856,19424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,1.8,2,1.4,1,1.4,NA,NA,NA,51.3,NA,NA,NA,NA,14.3,22.8,NA,NA,NA,3.2,5.6,NA,NA,0.3,0.4,NA,NA,4.4,77.5,66.5
Sherman,2014,84,3,NA,5,108,0,307,NA,NA,0,NA,6.5,NA,NA,NA,NA,94.7,NA,1.4,1.2,0.2,0,0.4,0,66.7,26.9,1.6,NA,75,62.5,80,73.3,6.8,15.5,0,NA,72.1,1.8,3.6,6.3,56,0.1,0,23.4,NA,7.5,89.4,79.8
Sherman,2015,76,2,0,0,101,NA,303,NA,NA,0,NA,16.5,NA,NA,NA,NA,83.3,NA,1.5,2.1,0.2,0,0.2,0,72,26.4,0,48.2,87.5,93.8,26.3,57.9,6.8,14.6,4.4,NA,70.5,1.8,3.3,6.7,31,0.1,0,20.7,NA,6.3,89.3,79.9
Sherman,2016,87,2,NA,0,101,NA,349,NA,0,58.8,NA,5.9,NA,NA,NA,NA,82.4,NA,2,2.8,0.3,0,0.2,0,80,22.3,0,48.8,87.5,62.5,36.8,57.9,6.8,12.8,0,NA,62,1.8,3.1,5.1,47,0.1,0,18.2,NA,4.6,88.8,81.3
Sherman,2017,90,2,0,0,101,8,336,NA,NA,0,NA,20.8,NA,NA,0,NA,86.7,NA,2,3.6,0.5,0.3,0.2,0,NA,19.2,0,56.4,NA,NA,NA,NA,7.1,13.7,NA,NA,65,2.6,5.4,NA,57,0.1,0,17.4,NA,4.8,87.6,86.6
Sherman,2018,91,3,NA,NA,105,5,307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3.2,0.5,0.3,0.3,0,NA,NA,NA,53.4,NA,NA,NA,NA,7.4,13,NA,NA,NA,2.5,4.3,NA,NA,0.1,0,NA,NA,4.1,87.2,79.3
Tillamook,2014,1655,114,37,81,1842,154,4828,NA,17.2,11.7,NA,26.9,NA,NA,39.5,NA,72,NA,1.1,1.2,1,0.8,0.4,0.4,83.9,25.4,1.7,NA,65.7,66.8,68,63.4,10.3,23.5,4.5,NA,68.1,2.3,4.4,7.3,73,0.2,0.3,25.9,58.3,7,84.7,69.3
Tillamook,2015,1663,82,21,60,1746,258,4918,NA,18.8,16.1,NA,27.2,NA,NA,31.6,NA,75,33.3,1.1,1.3,1,0.9,0.4,0.4,84.8,23,1.2,59.3,36.7,38.3,41.5,53.4,10.7,23.8,4.2,NA,67.7,2.3,4.8,6,71,0.3,0.4,25.2,51.3,5.8,84.2,68.5
Tillamook,2016,1353,65,14,51,1748,130,5009,NA,19.9,7.8,NA,23.2,NA,NA,26.9,NA,75.7,28.6,1.1,1.2,1,0.8,0.4,0.4,80.2,20.6,1,58.2,43,43,41.7,57.3,10.5,22.6,6.1,NA,61,2.4,5.2,4.9,58,0.3,0.4,20.4,57.8,5,84.3,69.3
Tillamook,2017,1361,60,26,36,1535,113,5077,NA,NA,4.6,NA,22,NA,NA,21.8,NA,65.4,15.4,1.1,1.4,1,0.9,0.4,0.5,NA,20.5,1.02,56.9,NA,NA,NA,NA,10.7,25.2,NA,NA,64,2.4,5.7,NA,47,0.3,0.5,21.5,41.7,4.3,84.1,75.5
Tillamook,2018,1305,44,NA,NA,1411,113,5062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,1.3,1,0.7,0.5,0.5,NA,NA,NA,55.1,NA,NA,NA,NA,10.7,22.9,NA,NA,NA,2.6,5.4,NA,NA,0.3,0.5,NA,NA,4.4,83.8,68.7
Umatilla,2014,6598,315,71,196,7284,1482,19825,NA,8.8,2.9,NA,18.8,NA,NA,40.3,NA,73.6,NA,3.2,3.1,0.9,0.8,0.8,0.6,73.2,24.3,1,NA,54.9,61.6,59.8,63.9,25.7,38.9,1.7,NA,72.9,1.9,3.2,5.6,70,0.1,0.2,25.2,51.9,7.9,67.3,53.2
Umatilla,2015,6620,256,79,190,6835,1275,19800,NA,8.2,2.9,NA,20.2,NA,NA,32,NA,71.8,13.9,3.2,3.1,1,0.9,0.8,0.7,71.3,23,1,64,41.7,41,32.5,53,26.1,38.8,0.8,NA,71.5,1.9,3.2,6,73,0.2,0.2,26.3,54.8,6.5,66.9,53.1
Umatilla,2016,5313,237,57,168,6268,1300,20198,NA,9.4,7.4,NA,17.8,NA,NA,41.5,NA,68.1,3.5,3.3,3.5,0.9,0.7,0.9,0.7,75.4,21.4,0.8200000000000001,64.5,33.8,32.9,28.1,54.5,26.4,39.2,1.1,NA,63,2,3.3,5,68,0.2,0.2,19.1,55.7,5.4,66.4,52.5
Umatilla,2017,5234,280,58,115,6353,927,19573,NA,NA,6.3,NA,17.7,NA,NA,38.6,NA,74,15.5,3.2,3.7,0.9,0.7,0.9,0.7,NA,20.5,0.8,65.4,NA,NA,NA,NA,26.8,43.3,NA,NA,64,1.9,3.5,NA,72,0.2,0.2,19.5,61.7,4.8,66,57.4
Umatilla,2018,5090,282,NA,NA,6955,858,19551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,3.3,0.9,0.6,0.9,0.7,NA,NA,NA,63.5,NA,NA,NA,NA,27.3,40.3,NA,NA,NA,2,3.3,NA,NA,0.2,0.2,NA,NA,4.9,65.5,51.7
Union,2014,1871,87,20,54,2021,485,5658,NA,16.9,10.3,NA,14.1,NA,NA,19.9,NA,82.4,NA,1,1,1,1.1,0.5,0.6,79.1,26.2,1,NA,59.6,69.5,69.7,68.7,4.5,7.5,4.1,NA,66.6,2.2,4.1,6.2,55,1.3,2,22,61.1,7.4,89.5,83.7
Union,2015,1887,88,28,70,1974,415,5704,NA,23.9,13.4,NA,14,NA,NA,21.1,NA,82.4,NA,1,1.1,1.1,1.1,0.5,0.7,86.6,24.7,1.2,52.4,46.5,34.5,34.8,48.2,4.7,8,5.6,NA,69.1,2.3,4.4,4.5,52,1.3,1.8,21.2,66.7,6.3,89,82.8
Union,2016,1600,106,20,53,1903,385,5795,NA,22.8,12.8,NA,16,NA,NA,23.4,NA,79,15,1.1,1.1,1.1,1.2,0.6,0.9,85.3,23.9,0.88,55.6,36.6,39.1,35.9,53.6,4.7,95.4,5,NA,62,2.3,4.1,4.4,55,1.2,1.8,19.9,59.5,5.9,89,83.2
Union,2017,1595,122,34,24,1948,344,5914,NA,NA,6.7,NA,18,NA,NA,23.1,NA,83.6,8.8,1,1.2,1.2,1.4,0.7,1,NA,22,0.93,52,NA,NA,NA,NA,4.8,8.9,NA,NA,63,2.5,5.3,NA,55,1.2,1.9,17.6,62.5,5.3,88.7,93.9
Union,2018,1582,125,NA,NA,2123,323,5955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.1,1.2,1.4,0.7,0.8,NA,NA,NA,50.7,NA,NA,NA,NA,4.9,7.7,NA,NA,NA,2.5,4.5,NA,NA,1.3,1.7,NA,NA,5.4,88.5,82.8
Wallowa,2014,414,15,8,15,354,77,1251,NA,12.4,0,NA,9.6,NA,NA,25.6,NA,77.2,NA,0.7,1,0.5,0.4,0.5,1.1,97.4,27.2,1.2,NA,52.5,80.3,54.6,63.1,2.8,4.9,2.4,NA,55.7,2,4.7,7.2,58,0.1,0.3,26.1,NA,10.2,93.5,87.5
Wallowa,2015,412,13,NA,10,337,75,1270,NA,11.2,16.1,NA,14.2,NA,NA,NA,NA,74.2,0,0.7,1.2,0.5,0.4,0.5,1.4,93.6,26.4,0.8,38,31.5,47.2,39.3,54.1,2.9,6,4.4,NA,65,2,4.5,5.8,53,0.1,0.3,26.2,37.5,7.9,93.2,86.2
Wallowa,2016,319,6,7,16,329,124,1319,NA,34.6,0,NA,14.4,NA,NA,25.3,NA,81.4,14.3,0.7,1.1,0.5,0.5,0.3,0.4,92.9,24.4,1.1500000000000001,33.6,43.9,40,26.1,43,2.8,5.4,3.9,NA,56,2.2,4.5,4.8,57,0.1,0.3,22.5,18.2,6.8,93.4,87.8
Wallowa,2017,335,9,5,11,304,63,1314,NA,NA,0,NA,17.2,NA,NA,12.4,NA,82.5,0,0.8,1.1,0.5,0.5,0.4,0.5,NA,22,1.22,44.2,NA,NA,NA,NA,3,5.9,NA,NA,66,2.1,4.6,NA,54,0.1,0.3,20.2,36.4,5.6,93.1,94.7
Wallowa,2018,341,7,NA,NA,343,50,1319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,1.3,0.5,0.5,0.4,0.3,NA,NA,NA,45.4,NA,NA,NA,NA,3.4,5.3,NA,NA,NA,2,3.5,NA,NA,0.1,0.3,NA,NA,6.1,92.8,88.8
Wasco,2014,1853,122,42,144,2137,227,5742,NA,16.4,0,NA,26.8,NA,NA,29,NA,80.8,NA,3.3,3.3,1,0.8,0.5,0.6,65.4,22.1,2.5,NA,51.1,55.9,63.8,70.9,17,30.2,3.4,NA,72.1,1.9,3.8,7.3,48,0.7,1,23.4,63.7,6.7,75.7,60.3
Wasco,2015,1879,102,38,140,2050,178,5787,NA,16.7,5.8,NA,30.2,NA,NA,50,NA,86.5,NA,3.1,2.9,1,0.9,0.5,0.6,64,21.5,2.4,64.8,38.6,40.1,34.8,49.1,17.4,31,2.6,NA,70.5,2,3.7,6,57,0.7,1,24.1,71.6,5.7,75.3,59.9
Wasco,2016,1675,115,55,150,1972,149,5848,NA,24.7,3.1,NA,24.9,NA,NA,31.5,NA,82,1.8,3.1,3.1,1.1,0.9,0.5,0.6,75.6,19.3,2.4899999999999998,63.9,58.1,53.7,50.4,64.2,17.4,29.9,3.5,NA,62,2,3.7,5.3,68,0.8,1.1,21.8,75.3,4.9,75.2,60.7
Wasco,2017,1718,108,54,94,1863,129,5933,NA,NA,3.2,NA,22.5,NA,NA,29.4,NA,82.7,3.7,2.9,3,1.2,1,0.5,0.8,NA,17.7,2.4099999999999997,63.6,NA,NA,NA,NA,18.4,33.9,NA,NA,65,2,4,NA,66,0.8,1.2,20.8,70.2,4.1,74.3,65.3
Wasco,2018,1704,77,NA,NA,1818,114,5871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,2.8,0.5,0.8,1.1,0.7,NA,NA,NA,65.3,NA,NA,NA,NA,18.7,31.2,NA,NA,NA,2,3.7,NA,NA,0.8,1,NA,NA,4.3,74.1,59.8
Washington,2014,44630,2014,326,813,29960,4914,136994,NA,6.9,5.7,NA,11.7,NA,NA,21.8,NA,77.4,9.2,0.5,0.5,9.7,9.1,1.9,2.1,81.1,20.2,0.6,NA,67.9,71.2,65.8,69.9,16.3,25.4,2.3,NA,68.2,3.4,6.7,4.2,54,0.5,0.5,16,52.6,5.7,67.8,55.7
Washington,2015,44642,1887,325,767,28225,3917,137564,NA,6.7,3.3,NA,10.4,NA,NA,19.5,NA,82,10.2,0.5,0.5,9.9,9.1,1.9,2.2,81.1,19.2,0.6,39.1,57.2,54.1,52.3,61.8,16.4,25.5,2.5,NA,71.6,3.5,6.9,3.8,52,0.5,0.5,12.3,54.5,4.8,67.3,55.4
Washington,2016,37250,1966,265,680,26068,3503,135871,NA,6.9,3.4,NA,9.5,NA,NA,17.5,NA,83.7,10.9,0.5,0.4,10.2,9.4,1.9,2.2,81.7,17.7,0.48000000000000004,36.8,49.3,49.5,48.3,60.9,16.5,25.6,2.5,NA,69,3.5,6.9,2.5,53,0.5,0.5,11.6,54.1,4.2,66.9,54.9
Washington,2017,36437,2241,266,485,23218,2455,137047,NA,NA,6,NA,10.1,NA,NA,14.5,NA,84.1,7.5,0.5,0.5,10.7,10.6,2,2.5,NA,16.5,0.51,38,NA,NA,NA,NA,16.8,28.3,NA,NA,71,3.6,7.6,NA,52,0.5,0.5,9.4,60.2,3.5,65.9,59.1
Washington,2018,35956,2109,NA,NA,20845,2251,136614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,11.8,9.9,2.2,2.3,NA,NA,NA,36.8,NA,NA,NA,NA,17.9,26.2,NA,NA,NA,3.9,7.1,NA,NA,0.5,0.5,NA,NA,3.5,68.5,53.5
Wheeler,2014,69,0,NA,0,67,1,215,NA,NA,0,NA,4.7,NA,NA,NA,NA,NA,NA,1.4,3.3,0.7,1.2,0.1,0,78.6,26.9,NA,NA,70,76.7,33.3,66.7,5.2,9.1,0,NA,NA,3.8,8.3,10,63,0.1,0,39.5,NA,6.4,88.7,78.1
Wheeler,2015,65,2,0,0,67,NA,200,NA,NA,0,NA,15,NA,NA,NA,NA,NA,0,1.4,3.5,0.7,1.3,0.1,0,84.2,28.9,0,30.4,42.9,40,31.6,68.4,5.2,10.6,0,NA,NA,4.1,9.7,5.8,57,0.1,0,43.6,NA,5.2,88.4,74.8
Wheeler,2016,49,1,NA,0,64,NA,259,NA,NA,0,NA,19.4,NA,NA,35.7,NA,86.7,NA,1.6,4.1,0.7,1.4,0.2,0.9,18.1,28.7,0,16.5,68.6,69.4,41.4,57.1,5.2,11.8,0,NA,NA,3.7,8.2,7,55,0.1,0,39.9,NA,4.4,88.3,73.6
Wheeler,2017,61,0,0,0,59,3,204,NA,NA,0,NA,3.9,NA,NA,0,NA,75.5,NA,1.5,3.9,1,1.5,0.2,1,NA,24.1,0,13.1,NA,NA,NA,NA,5.6,14.7,NA,NA,NA,4,9.8,NA,81,0.2,0,40.2,NA,3.9,87.5,81.9
Wheeler,2018,67,0,NA,NA,54,785,211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,3.4,0.9,1.3,0.4,0.9,NA,NA,NA,9.9,NA,NA,NA,NA,6.4,14,NA,NA,NA,4.2,8.1,NA,NA,0.2,0,NA,NA,3.5,86.4,72.3
Yamhill,2014,7076,434,88,231,8283,1315,23702,NA,5.1,3.5,NA,17.9,NA,NA,17.9,NA,81.5,6.8,1.3,1.2,1.6,2,0.8,0.9,77,23.8,1,NA,71.1,71.4,66.1,69.2,15.7,23.9,3.3,NA,57.1,2.5,3.9,5.6,64,0.2,0.1,20.5,50.3,6.6,77.9,68
Yamhill,2015,6969,375,94,182,7793,1044,23392,NA,5.2,6.2,NA,15.7,NA,NA,22.8,NA,83.7,8.5,1.3,1.3,1.7,2,0.8,0.9,78.6,22.5,0.8,51.7,49.3,45,41.3,58.2,15.9,24.4,3.1,NA,70.3,2.5,3.9,4.5,66,0.2,0.1,18.1,52.1,5.3,77.7,67.5
Yamhill,2016,5918,379,53,110,7417,1046,24828,NA,8,5.2,NA,11.2,NA,NA,19.9,NA,83.3,9.4,1.3,1.2,1.8,1.9,0.9,0.9,80.5,21.1,0.44,51.3,46.5,42,29,48.6,15.7,23.7,3.8,NA,72,2.5,4.2,3.7,64,0.2,0.2,15.8,48.5,4.7,77.6,67.9
Yamhill,2017,6096,391,43,102,6474,881,23777,NA,NA,6.3,NA,12.6,NA,NA,15,NA,83.9,9.3,1.3,1.4,1.8,2.3,1,1.1,NA,18.8,0.5700000000000001,51.2,NA,NA,NA,NA,16,27.8,NA,NA,72,2.6,4.9,NA,63,0.2,0.2,12.8,59.8,3.8,77.1,76.7
Yamhill,2018,6121,366,NA,NA,5804,8,23716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.2,2,2.2,1,1,NA,NA,NA,50,NA,NA,NA,NA,16.2,24.5,NA,NA,NA,2.6,4.4,NA,NA,0.2,0.2,NA,NA,3.8,76.8,66.5
