ncessch,state,lat,lon,cbsa,school_year,cbsatype,cnty,nmcnty,fipst,statename,sch_name,lea_name,st_leaid,leaid,st_schid,sy_status_text,sch_type_text,recon_status,charter_text,g_pk_offered,tot_enrollment_sch,teacher_fte,prop_frl_sch,re_amind_sch,re_asian_sch,re_black_sch,re_hisp_sch,re_missing_sch,re_multi_sch,re_nathi_sch,re_white_sch,prop_gen_female_sch,prop_gen_miss_sch
410000901734,OR,45.492697,-122.67171,38900,2015-2016,1,41051,Multnomah County,41,OREGON,Southwest Charter School,Oregon Department of Education,00000000002336,4100009,00000000002336-00000000000000004604,Open,Regular School,No,Yes,No,199,11,-0.005025125628140704,0.010050251256281407,0.02512562814070352,0.005025125628140704,0.08040201005025126,0,0.07035175879396985,0,0.8090452261306532,0.41708542713567837,NA
410000901734,OR,45.492697,-122.67171,38900,2016-2017,1,41051,Multnomah County,41,OREGON,Southwest Charter School,Oregon Department of Education,OR-00000000002336,4100009,OR-00000000002336-00000000000000004604,Open,Regular School,No,Yes,No,192,10.00,NA,0.010416666666666666,0.036458333333333336,0,0.08333333333333333,0,0.07291666666666667,0,0.796875,0.3645833333333333,0
410000901734,OR,45.492697,-122.67171,38900,2017-2018,1,41051,Multnomah County,41,OREGON,The Cottonwood School of Civics and Science,Oregon Department of Education,OR-00000000002336,4100009,OR-00000000002336-00000000000000004604,Open,Regular School,No,Yes,No,200,10.00,NA,0,0.05,0.015,0.065,0,0.09,0,0.78,0.405,0
410000901734,OR,45.493136,-122.67159,38900,2014-2015,1,41051,Multnomah County,41,OREGON,Southwest Charter School,Oregon Department of Education,00000000002336,4100009,00000000000000004604,Open,Regular School,No,Yes,N,188,8.50,-0.005319148936170213,0.015957446808510637,0.015957446808510637,0.005319148936170213,0.07446808510638298,0,0.07446808510638298,0.005319148936170213,0.8085106382978723,0.40425531914893614,NA
410000901784,OR,45.55522,-122.619911,38900,2014-2015,1,41051,Multnomah County,41,OREGON,The Ivy School,Oregon Department of Education,00000000002336,4100009,00000000000000004720,Open,Regular School,No,Yes,N,214,7.75,0.3364485981308411,0.02336448598130841,0.03271028037383177,0.06074766355140187,0.056074766355140186,0,0.04672897196261682,0,0.780373831775701,0.5280373831775701,NA
410000901784,OR,45.55522,-122.619911,38900,2015-2016,1,41051,Multnomah County,41,OREGON,The Ivy School,Oregon Department of Education,00000000002336,4100009,00000000002336-00000000000000004720,Open,Regular School,No,Yes,No,261,9.5,0.2567049808429119,0.019157088122605363,0.02681992337164751,0.0421455938697318,0.08045977011494253,0,0.04980842911877394,0,0.7816091954022989,0.5019157088122606,NA
410000901784,OR,45.555225,-122.61998200000001,38900,2016-2017,1,41051,Multnomah County,41,OREGON,The Ivy School,Oregon Department of Education,OR-00000000002336,4100009,OR-00000000002336-00000000000000004720,Open,Regular School,No,Yes,No,268,10.32,0.16417910447761194,0.018656716417910446,0.022388059701492536,0.018656716417910446,0.10820895522388059,0,0.05970149253731343,0,0.7723880597014925,0.48507462686567165,0
410000901784,OR,45.555225,-122.61998200000001,38900,2017-2018,1,41051,Multnomah County,41,OREGON,The Ivy School,Oregon Department of Education,OR-00000000002336,4100009,OR-00000000002336-00000000000000004720,Open,Regular School,No,Yes,No,265,9.92,0.17358490566037735,0.011320754716981131,0.03773584905660377,0.022641509433962263,0.09811320754716982,0,0.06415094339622641,0.0037735849056603774,0.7622641509433963,0.5056603773584906,0
410000901808,OR,44.96428,-123.021122,41420,2014-2015,1,41047,Marion County,41,OREGON,Eagle Charter School,Oregon Department of Education,00000000002336,4100009,00000000000000004850,Open,Regular School,No,Yes,N,144,6.00,0.5347222222222222,0.006944444444444444,0,0.013888888888888888,0.10416666666666667,0,0.09722222222222222,0,0.7777777777777778,0.4375,NA
410000901808,OR,44.965861,-123.022074,41420,2015-2016,1,41047,Marion County,41,OREGON,Eagle Charter School,Oregon Department of Education,00000000002336,4100009,00000000002336-00000000000000004850,Open,Regular School,No,Yes,No,140,6.69,0.5357142857142857,0,0,0.02857142857142857,0.12142857142857143,0,0.07142857142857142,0,0.7785714285714286,0.4142857142857143,NA
410000901808,OR,44.965861000000004,-123.022074,41420,2016-2017,1,41047,Marion County,41,OREGON,Eagle Charter School,Oregon Department of Education,OR-00000000002336,4100009,OR-00000000002336-00000000000000004850,Open,Regular School,No,Yes,No,139,6.80,0.4892086330935252,0,0,0.014388489208633094,0.1079136690647482,0,0.1079136690647482,0,0.7697841726618705,0.460431654676259,0
410000901808,OR,44.965861000000004,-123.022074,41420,2017-2018,1,41047,Marion County,41,OREGON,Eagle Charter School,Oregon Department of Education,OR-00000000002336,4100009,OR-00000000002336-00000000000000004850,Open,Regular School,No,Yes,No,144,7.00,0.375,0,0,0.013888888888888888,0.11805555555555555,0,0.09027777777777778,0,0.7777777777777778,0.4375,0
410001400748,OR,43.978477000000005,-117.242964,36620,2016-2017,2,41045,Malheur County,41,OREGON,Vale Elementary School,Vale SD 84,OR-00000000002116,4100014,OR-00000000002116-00000000000000000701,Open,Regular School,No,No,No,435,23.00,0.6367816091954023,0.0022988505747126436,0.009195402298850575,0.0022988505747126436,0.22988505747126436,0,0.022988505747126436,0.004597701149425287,0.728735632183908,0.4850574712643678,0
410001400748,OR,43.978477000000005,-117.242964,36620,2017-2018,2,41045,Malheur County,41,OREGON,Vale Elementary School,Vale SD 84,OR-00000000002116,4100014,OR-00000000002116-00000000000000000701,Open,Regular School,No,No,No,416,21.00,0.6370192307692307,0.007211538461538462,0.01201923076923077,0.002403846153846154,0.25721153846153844,0,0.014423076923076924,0.002403846153846154,0.7043269230769231,0.46875,0
410001400748,OR,43.978512,-117.24293,36620,2014-2015,2,41045,Malheur County,41,OREGON,Vale Elementary School,Vale SD 84,00000000002116,4100014,00000000000000000701,Open,Regular School,No,No,N,433,23.00,0.6374133949191686,0,0.016166281755196306,0,0.23787528868360278,0,0.013856812933025405,0.0023094688221709007,0.7297921478060047,0.46420323325635104,NA
410001400748,OR,43.978512,-117.24293,36620,2015-2016,2,41045,Malheur County,41,OREGON,Vale Elementary School,Vale SD 84,00000000002116,4100014,00000000002116-00000000000000000701,Open,Regular School,No,No,No,430,23,0.6372093023255814,0,0.009302325581395349,0,0.2186046511627907,0,0.023255813953488372,0.002325581395348837,0.7465116279069768,0.4720930232558139,NA
410001400754,OR,44.113132,-117.365728,36620,2014-2015,2,41045,Malheur County,41,OREGON,Willowcreek Elementary School,Vale SD 84,00000000002116,4100014,00000000000000000706,Open,Regular School,No,No,N,65,3.50,0.6153846153846154,0,0,0,0.015384615384615385,0,0.015384615384615385,0,0.9692307692307692,0.5384615384615384,NA
410001400754,OR,44.113132,-117.365728,36620,2015-2016,2,41045,Malheur County,41,OREGON,Willowcreek Elementary School,Vale SD 84,00000000002116,4100014,00000000002116-00000000000000000706,Open,Regular School,No,No,No,67,4,0.6119402985074627,0,0.014925373134328358,0,0.014925373134328358,0,0.014925373134328358,0,0.9552238805970149,0.5373134328358209,NA
410001400754,OR,44.113132,-117.365728,36620,2016-2017,2,41045,Malheur County,41,OREGON,Willowcreek Elementary School,Vale SD 84,OR-00000000002116,4100014,OR-00000000002116-00000000000000000706,Open,Regular School,No,No,No,89,6.00,0.5955056179775281,0,0.011235955056179775,0,0.011235955056179775,0,0.011235955056179775,0,0.9662921348314607,0.5393258426966292,0
410001400754,OR,44.113132,-117.365728,36620,2017-2018,2,41045,Malheur County,41,OREGON,Willowcreek Elementary School,Vale SD 84,OR-00000000002116,4100014,OR-00000000002116-00000000000000000706,Open,Regular School,No,No,No,97,5.00,0.5979381443298969,0,0.020618556701030927,0,0.010309278350515464,0,0.030927835051546393,0,0.9381443298969072,0.5154639175257731,0
410001400761,OR,43.97868,-117.252663,36620,2014-2015,2,41045,Malheur County,41,OREGON,Vale High School,Vale SD 84,00000000002116,4100014,00000000000000000713,Open,Regular School,No,No,N,287,16.50,0.5470383275261324,0.006968641114982578,0.006968641114982578,0.003484320557491289,0.1986062717770035,0,0.006968641114982578,0,0.7770034843205574,0.5017421602787456,NA
410001400761,OR,43.97868,-117.252663,36620,2015-2016,2,41045,Malheur County,41,OREGON,Vale High School,Vale SD 84,00000000002116,4100014,00000000002116-00000000000000000713,Open,Regular School,No,No,No,266,16.5,0.5488721804511278,0.0037593984962406013,0.0037593984962406013,0,0.21052631578947367,0,0.015037593984962405,0.0037593984962406013,0.7631578947368421,0.4849624060150376,NA
410001400761,OR,43.978680000000004,-117.25266300000001,36620,2016-2017,2,41045,Malheur County,41,OREGON,Vale High School,Vale SD 84,OR-00000000002116,4100014,OR-00000000002116-00000000000000000713,Open,Regular School,No,No,No,280,17.50,0.5464285714285714,0.0035714285714285713,0.007142857142857143,0,0.225,0,0.017857142857142856,0.0035714285714285713,0.7428571428571429,0.4642857142857143,0
410001400761,OR,43.978680000000004,-117.25266300000001,36620,2017-2018,2,41045,Malheur County,41,OREGON,Vale High School,Vale SD 84,OR-00000000002116,4100014,OR-00000000002116-00000000000000000713,Open,Regular School,No,No,No,281,16.50,0.5444839857651246,0.0071174377224199285,0.010676156583629894,0.0035587188612099642,0.2313167259786477,0,0.0071174377224199285,0.010676156583629894,0.7295373665480427,0.46619217081850534,0
410001401026,OR,43.978512,-117.24293,36620,2014-2015,2,41045,Malheur County,41,OREGON,Vale Middle School,Vale SD 84,00000000002116,4100014,00000000000000001357,Open,Regular School,No,No,N,138,8.00,0.6014492753623188,0,0.007246376811594203,0,0.26811594202898553,0,0.021739130434782608,0.007246376811594203,0.6956521739130435,0.4057971014492754,NA
410001401026,OR,43.978512,-117.24293,36620,2015-2016,2,41045,Malheur County,41,OREGON,Vale Middle School,Vale SD 84,00000000002116,4100014,00000000002116-00000000000000001357,Open,Regular School,No,No,No,146,9,0.6027397260273972,0,0.0136986301369863,0,0.2328767123287671,0,0.0136986301369863,0,0.7397260273972602,0.4246575342465753,NA
410001401026,OR,43.978539000000005,-117.24289300000001,36620,2016-2017,2,41045,Malheur County,41,OREGON,Vale Middle School,Vale SD 84,OR-00000000002116,4100014,OR-00000000002116-00000000000000001357,Open,Regular School,No,No,No,129,7.00,0.6046511627906976,0,0.023255813953488372,0,0.24031007751937986,0,0.031007751937984496,0.007751937984496124,0.6976744186046512,0.4186046511627907,0
410001401026,OR,43.978539000000005,-117.24289300000001,36620,2017-2018,2,41045,Malheur County,41,OREGON,Vale Middle School,Vale SD 84,OR-00000000002116,4100014,OR-00000000002116-00000000000000001357,Open,Regular School,No,No,No,100,6.50,0.6,0.01,0.01,0,0.28,0,0.01,0.01,0.68,0.43,0
410001500821,OR,45.106191,-122.89750500000001,41420,2016-2017,1,41047,Marion County,41,OREGON,Gervais Elementary School,Gervais SD 1,OR-00000000002137,4100015,OR-00000000002137-00000000000000000776,Open,Regular School,No,No,No,429,21.00,0.8414918414918415,0.016317016317016316,0.004662004662004662,0.002331002331002331,0.6666666666666666,0,0.016317016317016316,0,0.2937062937062937,0.49417249417249415,0
410001500821,OR,45.106191,-122.89750500000001,41420,2017-2018,1,41047,Marion County,41,OREGON,Gervais Elementary School,Gervais SD 1,OR-00000000002137,4100015,OR-00000000002137-00000000000000000776,Open,Regular School,No,No,No,425,20.87,0.8423529411764706,0.002352941176470588,0.004705882352941176,0,0.691764705882353,0,0.01647058823529412,0,0.2847058823529412,0.48705882352941177,0
