"","GEOID","NAME","county","avg_hh_inc_quint_2ndlow_trc","avg_hh_inc_quint_3rdlow_trc","avg_hh_inc_quint_4thlow_trc","avg_hh_inc_quint_lowest_trc","avg_hh_inc_quint_top_trc","avg_hh_inc_vent_top_trc","est_tot_transp2work","gini_trc","hh_noworker_n_trc","hh_tot_n_trc","noinc_15up_trc","per_cap_inc_trc","per_cap_wht_inc_trc","pop_15up_trc","pop_trc","ratio_incpov_trc","yesinc_15up_trc","geoid","wht_prem_p_trc","palma"
"32","41005020404","Census Tract 204.04","Clackamas County",100272,156684,214331,32073,512534,997229,1829,0.4617,332,1456,255,79230,79833,3027,3750,839,2772,41005020404,1.00761075350246,15.0701424307681
"33","41005020501","Census Tract 205.01","Clackamas County",56672,111454,178379,18069,377196,664065,3353,0.488,610,2735,851,56452,58739,5673,7346,1975,4822,41005020501,1.04051229362999,17.769764921529
"34","41005020503","Census Tract 205.03","Clackamas County",65623,103280,165382,23274,426847,799757,1131,0.5023,273,977,250,63843,64922,1914,2393,567,1664,41005020503,1.01690083486052,17.9928906487283
"35","41005020504","Census Tract 205.04","Clackamas County",69769,115045,167909,30810,375017,668150,3272,0.4502,519,2560,669,59789,61404,5435,6563,1404,4766,41005020504,1.02701165766278,13.2860736336611
"36","41005020505","Census Tract 205.05","Clackamas County",52586,84984,133356,14304,294411,503314,958,0.4772,650,1173,426,53883,60081,2281,2562,416,1855,41005020505,1.11502700295084,15.0490058304679
"37","41005020600","Census Tract 206","Clackamas County",56392,94999,151318,25716,318768,553614,4228,0.4543,572,3109,900,47335,49248,6757,8553,2230,5857,41005020600,1.04041406992712,13.4850197301116
"38","41005020700","Census Tract 207","Clackamas County",60851,94405,137998,24499,243975,360429,1969,0.3919,324,1467,418,41498,43417,3271,4041,997,2853,41005020700,1.04624319244301,8.44590509666081
"39","41005020800","Census Tract 208","Clackamas County",36402,50077,69331,17621,156042,290761,2227,0.4104,466,1987,356,31944,31472,3543,4150,680,3187,41005020800,0.985224142248936,10.76434111397
"40","41005020900","Census Tract 209","Clackamas County",35070,64309,87761,10910,165647,281076,2031,0.4285,553,1714,323,30744,30250,3554,4217,793,3231,41005020900,0.983931824095759,12.2260113092649
"41","41005021000","Census Tract 210","Clackamas County",43487,72452,100304,13672,198847,350307,2607,0.4291,534,2013,277,36850,36567,4045,4771,804,3768,41005021000,0.992320217096337,12.2572823177452
"42","41005021100","Census Tract 211","Clackamas County",43264,70316,97354,17156,164995,264011,2888,0.3809,521,2233,254,33514,33680,4541,5364,938,4287,41005021100,1.00495315390583,8.7391923204237
"43","41005021200","Census Tract 212","Clackamas County",33980,51456,77777,13527,128838,185255,1883,0.3812,811,1931,225,30681,33132,3494,3976,502,3269,41005021200,1.0798865747531,7.79906119098238
"44","41005021300","Census Tract 213","Clackamas County",46407,70023,99052,21581,219605,439278,3208,0.4322,482,2374,410,39659,40681,4916,5627,852,4506,41005021300,1.02576968657808,12.9222215685121
"45","41005021400","Census Tract 214","Clackamas County",45931,68501,106344,19662,182113,292969,2572,0.3914,418,1968,560,35749,34556,4201,4894,807,3641,41005021400,0.966628437159081,8.93293491683564
"46","41005021500","Census Tract 215","Clackamas County",45799,76072,112533,15996,177884,250525,2162,0.3864,774,2056,459,36683,36668,4179,4924,834,3720,41005021500,0.999591091241174,8.10826118618011
"47","41005021601","Census Tract 216.01","Clackamas County",34828,55527,72976,17255,112163,141517,3403,0.3289,558,2460,643,22676,22400,5345,6437,1158,4702,41005021601,0.987828541188922,5.43428757944051
"48","41005021602","Census Tract 216.02","Clackamas County",37364,60278,94041,16457,161341,224316,2601,0.3981,545,1988,396,28254,30096,4359,5310,1161,3963,41005021602,1.06519430877044,8.33563107337285
"49","41005021700","Census Tract 217","Clackamas County",24607,45841,81284,10315,194584,358165,2823,0.5165,1174,2922,644,31548,35151,5548,6814,1559,4904,41005021700,1.11420692278433,20.512284519787
