school_year,fipst,statename,sch_name,st_leaid,leaid,st_schid,ncessch,frl
2014-2015,41,OREGON,Vose Elementary School,00000000002243,4101920,00000000000000001177,410192001230,575
2014-2015,41,OREGON,West Tualatin View Elementary School,00000000002243,4101920,00000000000000001178,410192001231,31
2014-2015,41,OREGON,William Walker Elementary School,00000000002243,4101920,00000000000000001179,410192001232,425
2014-2015,41,OREGON,Cedar Park Middle School,00000000002243,4101920,00000000000000001180,410192001233,282
2014-2015,41,OREGON,Five Oaks Middle School,00000000002243,4101920,00000000000000001181,410192001234,623
2014-2015,41,OREGON,Meadow Park Middle School,00000000002243,4101920,00000000000000001182,410192001235,359
2014-2015,41,OREGON,Mountain View Middle School,00000000002243,4101920,00000000000000001183,410192001236,487
2014-2015,41,OREGON,Highland Park Middle School,00000000002243,4101920,00000000000000001184,410192001237,278
2014-2015,41,OREGON,Whitford Middle School,00000000002243,4101920,00000000000000001185,410192001238,398
2014-2015,41,OREGON,Aloha High School,00000000002243,4101920,00000000000000001186,410192001239,1164
2014-2015,41,OREGON,Beaverton High School,00000000002243,4101920,00000000000000001187,410192001240,741
2014-2015,41,OREGON,Sunset High School,00000000002243,4101920,00000000000000001188,410192001241,501
2014-2015,41,OREGON,Findley Elementary,00000000002243,4101920,00000000000000001370,410192001262,45
2014-2015,41,OREGON,Greenway Elementary School,00000000002243,4101920,00000000000000001157,410192001289,279
2014-2015,41,OREGON,Errol Hassell Elementary School,00000000002243,4101920,00000000000000001161,410192001301,167
2014-2015,41,OREGON,Elmonica Elementary School,00000000002243,4101920,00000000000000001162,410192001321,273
2014-2015,41,OREGON,Sexton Mountain Elementary School,00000000002243,4101920,00000000000000001270,410192001348,74
2014-2015,41,OREGON,Scholls Heights Elementary School,00000000002243,4101920,00000000000000002781,410192001430,71
2014-2015,41,OREGON,Stoller Middle School,00000000002243,4101920,00000000000000002782,410192001431,137
2014-2015,41,OREGON,Southridge High School,00000000002243,4101920,00000000000000002783,410192001432,395
2014-2015,41,OREGON,Jacob Wismer Elementary School,00000000002243,4101920,00000000000000003437,410192001445,41
2014-2015,41,OREGON,International School of Beaverton,00000000002243,4101920,00000000000000004474,410192001647,166
2014-2015,41,OREGON,Health & Science School,00000000002243,4101920,00000000000000004638,410192001745,313
2014-2015,41,OREGON,Bonny Slope Elementary School,00000000002243,4101920,00000000000000004671,410192001753,58
2014-2015,41,OREGON,Springville K-8 School,00000000002243,4101920,00000000000000004712,410192001779,173
2014-2015,41,OREGON,Arco Iris Spanish Immersion School,00000000002243,4101920,00000000000000004805,410192001791,41
2014-2015,41,OREGON,Hope Chinese Charter School,00000000002243,4101920,00000000000000004867,410192001823,-1
2014-2015,41,OREGON,Elk Meadow Elementary School,00000000001976,4101980,00000000000000001308,410198000245,270
2014-2015,41,OREGON,Bear Creek Elementary School,00000000001976,4101980,00000000000000000241,410198000258,507
2014-2015,41,OREGON,Cascade Middle School,00000000001976,4101980,00000000000000000242,410198000259,165
2014-2015,41,OREGON,LaPine Elementary School,00000000001976,4101980,00000000000000000245,410198000262,279
2014-2015,41,OREGON,High Desert Middle School,00000000001976,4101980,00000000000000001309,410198000263,428
2014-2015,41,OREGON,LaPine Middle School,00000000001976,4101980,00000000000000001310,410198000264,195
2014-2015,41,OREGON,Juniper Elementary School,00000000001976,4101980,00000000000000000246,410198000265,364
2014-2015,41,OREGON,R E Jewell Elementary School,00000000001976,4101980,00000000000000000247,410198000266,311
2014-2015,41,OREGON,Pilot Butte Middle School,00000000001976,4101980,00000000000000000249,410198000268,527
2014-2015,41,OREGON,Bend Senior High School,00000000001976,4101980,00000000000000000251,410198000270,818
2014-2015,41,OREGON,Mountain View Senior High School,00000000001976,4101980,00000000000000000252,410198000271,583
2014-2015,41,OREGON,LaPine Senior High School,00000000001976,4101980,00000000000000000253,410198000272,307
2014-2015,41,OREGON,Lava Ridge Elementary School,00000000001976,4101980,00000000000000001317,410198000546,280
2014-2015,41,OREGON,Amity Creek Elementary School,00000000001976,4101980,00000000000000001324,410198000607,69
2014-2015,41,OREGON,Marshall High School,00000000001976,4101980,00000000000000001338,410198000688,121
2014-2015,41,OREGON,Buckingham Elementary School,00000000001976,4101980,00000000000000000250,410198001290,276
2014-2015,41,OREGON,Three Rivers Elementary School,00000000001976,4101980,00000000000000001266,410198001350,219
2014-2015,41,OREGON,REALMS (Rimrock Expeditionary Alternative Learning Middle Sc,00000000001976,4101980,00000000000000003448,410198001436,41
2014-2015,41,OREGON,Highland School at Kenwood Elementary School,00000000001976,4101980,00000000000000003219,410198001438,45
2014-2015,41,OREGON,Summit High School,00000000001976,4101980,00000000000000003216,410198001451,342
2014-2015,41,OREGON,Westside Village Magnet School at Kingston Elementary School,00000000001976,4101980,00000000000000003221,410198001454,151
2014-2015,41,OREGON,High Lakes Elementary School,00000000001976,4101980,00000000000000003218,410198001487,86
2014-2015,41,OREGON,Sky View Middle School,00000000001976,4101980,00000000000000003217,410198001488,356
2014-2015,41,OREGON,Pine Ridge Elementary,00000000001976,4101980,00000000000000003947,410198001576,331
2014-2015,41,OREGON,Ensworth Elementary School,00000000001976,4101980,00000000000000004129,410198001603,173
2014-2015,41,OREGON,Ponderosa Elementary,00000000001976,4101980,00000000000000004646,410198001747,253
2014-2015,41,OREGON,William E Miller Elementary,00000000001976,4101980,00000000000000004680,410198001758,113
2014-2015,41,OREGON,Rosland Elementary,00000000001976,4101980,00000000000000004793,410198001794,157
2014-2015,41,OREGON,Clear Lake Elementary School,00000000002088,4102040,00000000000000000582,410204000616,184
2014-2015,41,OREGON,Danebo Elementary School,00000000002088,4102040,00000000000000000583,410204000617,239
2014-2015,41,OREGON,Fairfield Elementary School,00000000002088,4102040,00000000000000000584,410204000618,273
2014-2015,41,OREGON,Irving Elementary School,00000000002088,4102040,00000000000000000585,410204000619,155
2014-2015,41,OREGON,Malabon Elementary School,00000000002088,4102040,00000000000000000586,410204000620,233
2014-2015,41,OREGON,Cascade Middle School,00000000002088,4102040,00000000000000000581,410204000621,261
2014-2015,41,OREGON,Shasta Middle School,00000000002088,4102040,00000000000000000587,410204000622,235
2014-2015,41,OREGON,Willamette High School,00000000002088,4102040,00000000000000000588,410204000623,780
2014-2015,41,OREGON,Meadow View School,00000000002088,4102040,00000000000000002264,410204001391,296
2014-2015,41,OREGON,Kalapuya High School,00000000002088,4102040,00000000000000003566,410204004178,60
2014-2015,41,OREGON,Prairie Mountain School,00000000002088,4102040,00000000000000003567,410204004179,473
2014-2015,41,OREGON,Triangle Lake Charter School,00000000002095,4102160,00000000000000003401,410216000641,132
2014-2015,41,OREGON,Black Butte Elementary School,00000000002052,4102190,00000000000000000428,410219000449,-1
2014-2015,41,OREGON,Azalea Middle School,00000000001974,4102310,00000000000000000235,410231000253,231
2014-2015,41,OREGON,Kalmiopsis Elementary School,00000000001974,4102310,00000000000000000236,410231000254,435
2014-2015,41,OREGON,Brookings-Harbor High School,00000000001974,4102310,00000000000000000237,410231000255,256
2014-2015,41,OREGON,Henry L Slater Elementary School,00000000002014,4102490,00000000000000000342,410249000361,252
2014-2015,41,OREGON,Hines Middle School,00000000002014,4102490,00000000000000000355,410249000363,113
2014-2015,41,OREGON,Burns High School,00000000002014,4102490,00000000000000000359,410249000379,131
2014-2015,41,OREGON,Burns Alternative School,00000000002014,4102490,00000000000000003740,410249001520,24
2014-2015,41,OREGON,Butte Falls Charter School,00000000002046,4102580,00000000000000000406,410258000426,103
2014-2015,41,OREGON,Camas Valley School,00000000001995,4102610,00000000000000003400,410261000315,133
2014-2015,41,OREGON,Carus School,00000000001929,4102640,00000000000000000092,410264000100,169
2014-2015,41,OREGON,William Knight Elementary School,00000000001929,4102640,00000000000000000122,410264000130,215
2014-2015,41,OREGON,Howard Eccles Elementary School,00000000001929,4102640,00000000000000000124,410264000132,191
2014-2015,41,OREGON,Ninety-One School,00000000001929,4102640,00000000000000000127,410264000135,224
2014-2015,41,OREGON,Canby High School,00000000001929,4102640,00000000000000000140,410264000148,541
2014-2015,41,OREGON,Cecile Trost Elementary School,00000000001929,4102640,00000000000000001307,410264000165,309
2014-2015,41,OREGON,Baker Prairie Middle School,00000000001929,4102640,00000000000000004434,410264001651,303
2014-2015,41,OREGON,Philander Lee Elementary School,00000000001929,4102640,00000000000000004435,410264001659,212
2014-2015,41,OREGON,Aumsville Elementary School,00000000002139,4102780,00000000000000000719,410278000767,332
2014-2015,41,OREGON,Turner Elementary School,00000000002139,4102780,00000000000000000790,410278000835,116
2014-2015,41,OREGON,Cloverdale Elementary School,00000000002139,4102780,00000000000000000806,410278000851,71
2014-2015,41,OREGON,Cascade Junior High School,00000000002139,4102780,00000000000000000810,410278000855,277
2014-2015,41,OREGON,Cascade Senior High School,00000000002139,4102780,00000000000000000811,410278000856,297
2014-2015,41,OREGON,Lynch Meadows Elementary School,00000000002185,4102800,00000000000000000959,410280001012,426
2014-2015,41,OREGON,Centennial Middle School,00000000002185,4102800,00000000000000000960,410280001013,704
2014-2015,41,OREGON,Oliver Elementary School,00000000002185,4102800,00000000000000000962,410280001015,341
2014-2015,41,OREGON,Parklane Elementary School,00000000002185,4102800,00000000000000000963,410280001016,355
2014-2015,41,OREGON,Lynch View Elementary School,00000000002185,4102800,00000000000000000964,410280001017,394
2014-2015,41,OREGON,Lynch Wood Elementary School,00000000002185,4102800,00000000000000000965,410280001018,424
2014-2015,41,OREGON,Pleasant Valley Elementary School,00000000002185,4102800,00000000000000000966,410280001019,225
2014-2015,41,OREGON,Centennial High School,00000000002185,4102800,00000000000000000967,410280001020,1147
2014-2015,41,OREGON,Centenial Park School,00000000002185,4102800,00000000000000001367,410280001221,96
2014-2015,41,OREGON,Butler Creek Elementary School,00000000002185,4102800,00000000000000003649,410280001574,287
2014-2015,41,OREGON,Independence Elementary School,00000000002191,4102840,00000000000000000998,410284001054,327
2014-2015,41,OREGON,Monmouth Elementary School,00000000002191,4102840,00000000000000000999,410284001055,306
2014-2015,41,OREGON,Talmadge Middle School,00000000002191,4102840,00000000000000001001,410284001057,405
2014-2015,41,OREGON,Central High School,00000000002191,4102840,00000000000000001002,410284001058,532
2014-2015,41,OREGON,Ash Creek Elementary School,00000000002191,4102840,00000000000000003464,410284001461,315
2014-2015,41,OREGON,Central Linn Elementary School,00000000002105,4102910,00000000000000001311,410291000475,187
2014-2015,41,OREGON,Central Linn High School,00000000002105,4102910,00000000000000000687,410291000729,139
2014-2015,41,OREGON,Central Point Elementary School,00000000002042,4102940,00000000000000000382,410294000402,331
2014-2015,41,OREGON,Jewett Elementary School,00000000002042,4102940,00000000000000000383,410294000403,344
2014-2015,41,OREGON,Patrick Elementary School,00000000002042,4102940,00000000000000000384,410294000404,178
2014-2015,41,OREGON,Richardson Elementary School,00000000002042,4102940,00000000000000000385,410294000405,257
2014-2015,41,OREGON,Sams Valley Elementary School,00000000002042,4102940,00000000000000000386,410294000406,198
