school_year,fipst,statename,sch_name,st_leaid,leaid,st_schid,ncessch,teachers
2014-2015,41,OREGON,La Grande Middle School,00000000002212,4107200,00000000000000001072,410720001127,25.00
2014-2015,41,OREGON,Island City Elementary School,00000000002212,4107200,00000000000000001069,410720001128,13.00
2014-2015,41,OREGON,La Grande High School,00000000002212,4107200,00000000000000001073,410720001131,30.00
2014-2015,41,OREGON,Willow Elementary School,00000000002212,4107200,00000000000000001071,410720001768,4.20
2014-2015,41,OREGON,Forest Hills Elementary School,00000000001923,4107230,00000000000000000053,410723000060,17.50
2014-2015,41,OREGON,Lake Grove Elementary School,00000000001923,4107230,00000000000000000055,410723000061,20.48
2014-2015,41,OREGON,River Grove Elementary School,00000000001923,4107230,00000000000000000056,410723000064,18.07
2014-2015,41,OREGON,Lake Oswego Middle School,00000000001923,4107230,00000000000000000059,410723000066,29.93
2014-2015,41,OREGON,Lakeridge Middle School,00000000001923,4107230,00000000000000000060,410723000067,23.62
2014-2015,41,OREGON,Lake Oswego Senior High School,00000000001923,4107230,00000000000000000061,410723000068,55.18
2014-2015,41,OREGON,Lakeridge High School,00000000001923,4107230,00000000000000000062,410723000069,44.98
2014-2015,41,OREGON,Westridge Elementary School,00000000001923,4107230,00000000000000000058,410723001307,19.71
2014-2015,41,OREGON,Hallinan Elementary School,00000000001923,4107230,00000000000000000054,410723001308,19.94
2014-2015,41,OREGON,Oak Creek Elementary School,00000000001923,4107230,00000000000000001288,410723001378,22.62
2014-2015,41,OREGON,Union Elementary School,00000000002059,4107280,00000000000000000489,410728000514,2.50
2014-2015,41,OREGON,Fremont/Hay Elementary School,00000000002059,4107280,00000000000000000490,410728000517,19.16
2014-2015,41,OREGON,Lakeview Senior High School,00000000002059,4107280,00000000000000000492,410728000519,13.98
2014-2015,41,OREGON,Daly Middle School,00000000002059,4107280,00000000000000000491,410728000689,6.46
2014-2015,41,OREGON,Cascades School,00000000002101,4107380,00000000000000000652,410738000682,19.00
2014-2015,41,OREGON,Green Acres School,00000000002101,4107380,00000000000000000653,410738000684,16.53
2014-2015,41,OREGON,Hamilton Creek School,00000000002101,4107380,00000000000000000658,410738000696,16.00
2014-2015,41,OREGON,Lacomb School,00000000002101,4107380,00000000000000000671,410738000710,10.00
2014-2015,41,OREGON,Seven Oak Middle School,00000000002101,4107380,00000000000000000674,410738000714,26.43
2014-2015,41,OREGON,Lebanon High School,00000000002101,4107380,00000000000000000688,410738000730,53.38
2014-2015,41,OREGON,Riverview School,00000000002101,4107380,00000000000000003503,410738004184,19.49
2014-2015,41,OREGON,Pioneer School,00000000002101,4107380,00000000000000003504,410738004185,22.93
2014-2015,41,OREGON,Sand Ridge Charter School,00000000002101,4107380,00000000000000003505,410738004186,13.50
2014-2015,41,OREGON,Toledo Elementary School,00000000002097,4107500,00000000000000000611,410750000646,19.79
2014-2015,41,OREGON,Oceanlake Elementary School,00000000002097,4107500,00000000000000000617,410750000651,20.38
2014-2015,41,OREGON,Sam Case Elementary School,00000000002097,4107500,00000000000000000618,410750000653,23.01
2014-2015,41,OREGON,Taft Elementary School,00000000002097,4107500,00000000000000000620,410750000655,22.98
2014-2015,41,OREGON,Crestview Heights School,00000000002097,4107500,00000000000000000623,410750000657,18.84
2014-2015,41,OREGON,Newport Intermediate School,00000000002097,4107500,00000000000000000625,410750000660,18.18
2014-2015,41,OREGON,Newport Preparatory Academy,00000000002097,4107500,00000000000000000615,410750000661,7.33
2014-2015,41,OREGON,Newport High School,00000000002097,4107500,00000000000000000627,410750000663,24.73
2014-2015,41,OREGON,Taft High School,00000000002097,4107500,00000000000000000628,410750000665,25.90
2014-2015,41,OREGON,Toledo Junior/Senior High School,00000000002097,4107500,00000000000000000629,410750000666,16.36
2014-2015,41,OREGON,Waldport High School,00000000002097,4107500,00000000000000000630,410750000667,10.07
2014-2015,41,OREGON,Isaac Newton Magnet School,00000000002097,4107500,00000000000000001355,410750000985,4.17
2014-2015,41,OREGON,Lincoln City Career Technical High School,00000000002097,4107500,00000000000000003240,410750001493,3.05
2014-2015,41,OREGON,Eddyville Charter School,00000000002097,4107500,00000000000000003361,410750001582,11.90
2014-2015,41,OREGON,Siletz Valley Schools,00000000002097,4107500,00000000000000004038,410750001590,12.55
2014-2015,41,OREGON,Siletz Valley Early College Academy,00000000002097,4107500,00000000000000004468,410750001660,5.70
2014-2015,41,OREGON,Long Creek School,00000000002012,4107530,00000000000000003366,410753000360,4.71
2014-2015,41,OREGON,Lundy Elementary School,00000000002092,4107590,00000000000000000598,410759000633,7.83
2014-2015,41,OREGON,Lowell Junior/Senior High School,00000000002092,4107590,00000000000000000599,410759000634,8.27
2014-2015,41,OREGON,Mountain View Academy,00000000002092,4107590,00000000000000005252,410759001834,7.00
2014-2015,41,OREGON,Mapleton Elementary School,00000000002085,4107710,00000000000000000568,410771000602,6.00
2014-2015,41,OREGON,Mapleton Jr/Sr High School,00000000002085,4107710,00000000000000000569,410771000603,6.86
2014-2015,41,OREGON,Marcola Elementary School,00000000002094,4107740,00000000000000000603,410774000638,6.00
2014-2015,41,OREGON,Mohawk High School,00000000002094,4107740,00000000000000000604,410774000639,6.00
2014-2015,41,OREGON,McKenzie Elementary School,00000000002090,4107980,00000000000000000593,410798000628,7.50
2014-2015,41,OREGON,McKenzie High School,00000000002090,4107980,00000000000000000594,410798000629,4.86
2014-2015,41,OREGON,Duniway Middle School,00000000002256,4108010,00000000000000001315,410801000540,37.34
2014-2015,41,OREGON,Columbus Elementary School,00000000002256,4108010,00000000000000001228,410801001279,26.44
2014-2015,41,OREGON,Memorial Elementary School,00000000002256,4108010,00000000000000001230,410801001281,24.99
2014-2015,41,OREGON,Newby Elementary School,00000000002256,4108010,00000000000000001231,410801001282,26.08
2014-2015,41,OREGON,Patton Middle School,00000000002256,4108010,00000000000000001233,410801001283,39.30
2014-2015,41,OREGON,McMinnville High School,00000000002256,4108010,00000000000000001234,410801001284,96.01
2014-2015,41,OREGON,Wascher Elementary School,00000000002256,4108010,00000000000000001232,410801001310,20.63
2014-2015,41,OREGON,Grandhaven Elementary School,00000000002256,4108010,00000000000000002784,410801001433,29.87
2014-2015,41,OREGON,Sue Buel Elementary,00000000002256,4108010,00000000000000004639,410801001752,29.75
2014-2015,41,OREGON,Griffin Creek Elementary School,00000000002048,4108040,00000000000000000408,410804000428,24.43
2014-2015,41,OREGON,Hoover Elementary School,00000000002048,4108040,00000000000000000409,410804000429,25.26
2014-2015,41,OREGON,Howard Elementary School,00000000002048,4108040,00000000000000000410,410804000430,22.37
2014-2015,41,OREGON,Jackson Elementary School,00000000002048,4108040,00000000000000000411,410804000431,19.03
2014-2015,41,OREGON,Jacksonville Elementary School,00000000002048,4108040,00000000000000000412,410804000432,18.13
2014-2015,41,OREGON,Jefferson Elementary School,00000000002048,4108040,00000000000000000413,410804000433,20.32
2014-2015,41,OREGON,Lone Pine Elementary School,00000000002048,4108040,00000000000000000414,410804000434,23.13
2014-2015,41,OREGON,Oak Grove Elementary School,00000000002048,4108040,00000000000000000415,410804000435,18.95
2014-2015,41,OREGON,Kennedy Elementary School,00000000002048,4108040,00000000000000000416,410804000436,24.00
2014-2015,41,OREGON,Roosevelt Elementary School,00000000002048,4108040,00000000000000000417,410804000437,16.60
2014-2015,41,OREGON,Ruch Elementary School,00000000002048,4108040,00000000000000000418,410804000438,8.93
2014-2015,41,OREGON,Washington Elementary School,00000000002048,4108040,00000000000000000419,410804000439,19.85
2014-2015,41,OREGON,Wilson Elementary School,00000000002048,4108040,00000000000000000420,410804000441,21.57
2014-2015,41,OREGON,Hedrick Middle School,00000000002048,4108040,00000000000000000421,410804000442,41.00
2014-2015,41,OREGON,McLoughlin Middle School,00000000002048,4108040,00000000000000000422,410804000443,41.06
2014-2015,41,OREGON,South Medford High School,00000000002048,4108040,00000000000000000423,410804000444,76.22
2014-2015,41,OREGON,North Medford High School,00000000002048,4108040,00000000000000000424,410804000445,73.63
2014-2015,41,OREGON,Abraham Lincoln Elementary,00000000002048,4108040,00000000000000001350,410804000963,20.15
2014-2015,41,OREGON,Madrone Trail Public Charter School,00000000002048,4108040,00000000000000004593,410804001736,9.75
2014-2015,41,OREGON,Logos Public Charter School,00000000002048,4108040,00000000000000004821,410804001796,38.81
2014-2015,41,OREGON,Kids Unlimited Academy,00000000002048,4108040,00000000000000005205,410804001829,12.25
2014-2015,41,OREGON,Central Medford High School,00000000002048,4108040,00000000000000003554,410804004187,14.80
2014-2015,41,OREGON,Santiam Elementary School,00000000002104,4108100,00000000000000000681,410810000722,15.00
2014-2015,41,OREGON,Santiam Junior/Senior High School,00000000002104,4108100,00000000000000000683,410810000724,12.33
2014-2015,41,OREGON,Ferndale Elementary School,00000000002205,4108160,00000000000000001041,410816001098,15.00
2014-2015,41,OREGON,Central Middle School,00000000002205,4108160,00000000000000001057,410816001116,21.83
2014-2015,41,OREGON,Freewater Elementary School,00000000002205,4108160,00000000000000001058,410816001117,16.97
2014-2015,41,OREGON,Grove Elementary School,00000000002205,4108160,00000000000000001059,410816001118,13.75
2014-2015,41,OREGON,McLoughlin High School,00000000002205,4108160,00000000000000001064,410816001123,24.17
2014-2015,41,OREGON,Mitchell School,00000000002249,4108280,00000000000000003404,410828001259,6.00
2014-2015,41,OREGON,Clarkes Elementary School,00000000001925,4108310,00000000000000000093,410831000101,7.99
2014-2015,41,OREGON,Molalla River Middle School,00000000001925,4108310,00000000000000000095,410831000102,24.09
2014-2015,41,OREGON,Mulino Elementary School,00000000001925,4108310,00000000000000000121,410831000129,13.55
2014-2015,41,OREGON,Rural Dell Elementary School,00000000001925,4108310,00000000000000000128,410831000136,9.95
2014-2015,41,OREGON,Molalla High School,00000000001925,4108310,00000000000000000142,410831000151,32.87
2014-2015,41,OREGON,Molalla Elementary School,00000000001925,4108310,00000000000000000094,410831001325,25.19
2014-2015,41,OREGON,Molalla River Academy,00000000001925,4108310,00000000000000004745,410831001789,10.74
2014-2015,41,OREGON,Renaissance Public Academy,00000000001925,4108310,00000000000000004818,410831001800,5.00
2014-2015,41,OREGON,Monroe Grade School,00000000001898,4108430,00000000000000001321,410843000027,15.50
2014-2015,41,OREGON,Monroe High School,00000000001898,4108430,00000000000000000043,410843000050,12.26
2014-2015,41,OREGON,Monument School,00000000002010,4108460,00000000000000003350,410846000356,2.50
2014-2015,41,OREGON,A C Houghton Elementary School,00000000002147,4108520,00000000000000000813,410852000858,16.00
2014-2015,41,OREGON,Heppner Elementary School,00000000002147,4108520,00000000000000000815,410852000859,9.18
2014-2015,41,OREGON,Heppner Junior/Senior High School,00000000002147,4108520,00000000000000000818,410852000861,12.15
2014-2015,41,OREGON,Riverside Junior/Senior High School,00000000002147,4108520,00000000000000000820,410852000863,21.62
2014-2015,41,OREGON,Sam Boardman Elementary School,00000000002147,4108520,00000000000000000814,410852001311,19.50
2014-2015,41,OREGON,Irrigon Junior/Senior High School,00000000002147,4108520,00000000000000000817,410852001312,19.00
2014-2015,41,OREGON,Windy River Elementary School,00000000002147,4108520,00000000000000004047,410852001597,11.25
2014-2015,41,OREGON,Irrigon Elementary School,00000000002147,4108520,00000000000000004048,410852001598,9.50
2014-2015,41,OREGON,Mt Angel Middle School,00000000002145,4108550,00000000000000000792,410855000837,9.18
2014-2015,41,OREGON,St Marys Public School,00000000002145,4108550,00000000000000000793,410855000838,18.60
2014-2015,41,OREGON,John F Kennedy High School,00000000002145,4108550,00000000000000000794,410855000839,14.00
2014-2015,41,OREGON,Garibaldi Elementary School,00000000002198,4108650,00000000000000001020,410865001078,11.82
2014-2015,41,OREGON,Nehalem Elementary School,00000000002198,4108650,00000000000000001021,410865001080,9.63
2014-2015,41,OREGON,Neah-Kah-Nie High School,00000000002198,4108650,00000000000000001022,410865001081,15.13
2014-2015,41,OREGON,Neah-Kah-Nie Middle School,00000000002198,4108650,00000000000000004481,410865001656,8.75
2014-2015,41,OREGON,Nestucca Valley Elementary,00000000002199,4108700,00000000000000001019,410870001077,12.00
2014-2015,41,OREGON,Nestucca High School,00000000002199,4108700,00000000000000001023,410870001082,15.00
2014-2015,41,OREGON,Dundee Elementary School,00000000002254,4108720,00000000000000001216,410872001269,17.69
2014-2015,41,OREGON,Edwards Elementary School,00000000002254,4108720,00000000000000001217,410872001270,22.74
2014-2015,41,OREGON,Ewing Young Elementary School,00000000002254,4108720,00000000000000001218,410872001271,9.86
2014-2015,41,OREGON,Mabel Rush Elementary School,00000000002254,4108720,00000000000000001219,410872001272,26.56
2014-2015,41,OREGON,Mountain View Middle School,00000000002254,4108720,00000000000000001221,410872001273,24.34
2014-2015,41,OREGON,Newberg Senior High School,00000000002254,4108720,00000000000000001222,410872001274,74.51
2014-2015,41,OREGON,Antonia Crater Elementary School,00000000002254,4108720,00000000000000001335,410872001291,21.53
2014-2015,41,OREGON,Chehalem Valley Middle School,00000000002254,4108720,00000000000000001336,410872001309,30.03
2014-2015,41,OREGON,Joan Austin Elementary School,00000000002254,4108720,00000000000000004342,410872001674,19.39
2014-2015,41,OREGON,Hillcrest Elementary School,00000000001966,4108820,00000000000000000204,410882000219,22.50
2014-2015,41,OREGON,North Bay Elementary School,00000000001966,4108820,00000000000000000205,410882000221,23.50
2014-2015,41,OREGON,North Bend Middle School,00000000001966,4108820,00000000000000000208,410882000224,13.51
2014-2015,41,OREGON,North Bend Senior High School,00000000001966,4108820,00000000000000000209,410882000225,27.16
2014-2015,41,OREGON,Oregon Coast Technology School,00000000001966,4108820,00000000000000003990,410882001580,17.80
2014-2015,41,OREGON,Oregon Virtual Academy,00000000001966,4108820,00000000000000004690,410882001751,51.31
2014-2015,41,OREGON,Lighthouse Charter School,00000000001966,4108820,00000000000000003615,410882004188,11.00
2014-2015,41,OREGON,Oregon Trail Elementary School,00000000001924,4108830,00000000000000004766,410883000008,17.24
2014-2015,41,OREGON,Ardenwald Elementary School,00000000001924,4108830,00000000000000004762,410883000070,21.60
2014-2015,41,OREGON,Bilquist Elementary School,00000000001924,4108830,00000000000000000065,410883000072,21.14
2014-2015,41,OREGON,Happy Valley Elementary School,00000000001924,4108830,00000000000000004763,410883000076,16.74
2014-2015,41,OREGON,Linwood Elementary School,00000000001924,4108830,00000000000000004765,410883000079,16.55
2014-2015,41,OREGON,Whitcomb Elementary School,00000000001924,4108830,00000000000000000072,410883000080,24.29
2014-2015,41,OREGON,Milwaukie Elementary School,00000000001924,4108830,00000000000000000073,410883000081,7.23
2014-2015,41,OREGON,Riverside Elementary School,00000000001924,4108830,00000000000000000076,410883000084,21.86
2014-2015,41,OREGON,Lewelling Elementary School,00000000001924,4108830,00000000000000004764,410883000085,17.46
2014-2015,41,OREGON,Sunnyside Elementary School,00000000001924,4108830,00000000000000000078,410883000086,22.24
2014-2015,41,OREGON,View Acres Elementary School,00000000001924,4108830,00000000000000000079,410883000087,19.09
2014-2015,41,OREGON,Rowe Middle School,00000000001924,4108830,00000000000000000084,410883000092,41.30
2014-2015,41,OREGON,Clackamas High School,00000000001924,4108830,00000000000000000085,410883000093,74.43
2014-2015,41,OREGON,Milwaukie High School,00000000001924,4108830,00000000000000000086,410883000094,48.24
2014-2015,41,OREGON,Putnam High School,00000000001924,4108830,00000000000000000087,410883000095,41.77
2014-2015,41,OREGON,Sojourner School,00000000001924,4108830,00000000000000002733,410883001317,7.39
2014-2015,41,OREGON,Mount Scott Elementary School,00000000001924,4108830,00000000000000001264,410883001354,17.20
2014-2015,41,OREGON,Rock Creek Middle School,00000000001924,4108830,00000000000000004767,410883001379,31.15
2014-2015,41,OREGON,Spring Mountain Elementary School,00000000001924,4108830,00000000000000003198,410883001483,20.01
2014-2015,41,OREGON,Oak Grove Elementary,00000000001924,4108830,00000000000000003342,410883001484,18.40
2014-2015,41,OREGON,Clackamas Web Academy,00000000001924,4108830,00000000000000004223,410883001543,15.30
2014-2015,41,OREGON,Clackamas Middle College,00000000001924,4108830,00000000000000004226,410883001544,5.95
2014-2015,41,OREGON,New Urban High School,00000000001924,4108830,00000000000000004004,410883001583,13.10
2014-2015,41,OREGON,El Puente,00000000001924,4108830,00000000000000004005,410883001584,9.05
2014-2015,41,OREGON,Cascade Heights Public Charter School,00000000001924,4108830,00000000000000004475,410883001658,11.50
2014-2015,41,OREGON,Milwaukie Academy of the Arts,00000000001924,4108830,00000000000000004369,410883001686,2.67
2014-2015,41,OREGON,Scouters Mountain Elementary,00000000001924,4108830,00000000000000004713,410883001775,19.85
2014-2015,41,OREGON,Verne A Duncan Elementary School,00000000001924,4108830,00000000000000004714,410883001777,22.10
2014-2015,41,OREGON,Happy Valley Middle School,00000000001924,4108830,00000000000000004715,410883001782,39.22
2014-2015,41,OREGON,Alder Creek Middle School,00000000001924,4108830,00000000000000003530,410883004189,45.44
2014-2015,41,OREGON,North Marion Intermediate School,00000000002141,4108880,00000000000000000724,410888000771,20.23
2014-2015,41,OREGON,North Marion High School,00000000002141,4108880,00000000000000000726,410888000772,30.50
2014-2015,41,OREGON,North Marion Middle School,00000000002141,4108880,00000000000000000725,410888001326,23.61
2014-2015,41,OREGON,North Marion Primary School,00000000002141,4108880,00000000000000003146,410888001424,18.50
2014-2015,41,OREGON,North Powder Charter School,00000000002214,4108940,00000000000000003365,410894001135,18.06
2014-2015,41,OREGON,Nyssa Elementary School,00000000002110,4109000,00000000000000000702,410900000750,29.00
2014-2015,41,OREGON,Nyssa Middle School,00000000002110,4109000,00000000000000000703,410900000751,16.80
2014-2015,41,OREGON,Nyssa High School,00000000002110,4109000,00000000000000000704,410900000752,19.95
2014-2015,41,OREGON,Lincoln Middle School,00000000001990,4109120,00000000000000000266,410912000285,9.08
2014-2015,41,OREGON,Oakland Elementary School,00000000001990,4109120,00000000000000000267,410912000286,10.50
2014-2015,41,OREGON,Oakland High School,00000000001990,4109120,00000000000000000268,410912000287,12.00
2014-2015,41,OREGON,Oakridge Elementary School,00000000002093,4109150,00000000000000000600,410915000635,14.63
2014-2015,41,OREGON,Oakridge Junior High School,00000000002093,4109150,00000000000000000601,410915000636,5.71
2014-2015,41,OREGON,Oakridge High School,00000000002093,4109150,00000000000000000602,410915000637,8.48
2014-2015,41,OREGON,Alameda Elementary School,00000000002108,4109270,00000000000000000692,410927000739,21.00
2014-2015,41,OREGON,Cairo Elementary School,00000000002108,4109270,00000000000000000693,410927000740,6.75
2014-2015,41,OREGON,Aiken Elementary School,00000000002108,4109270,00000000000000000694,410927000741,14.50
2014-2015,41,OREGON,May Roberts Elementary School,00000000002108,4109270,00000000000000000696,410927000743,17.64
2014-2015,41,OREGON,Pioneer Elementary School,00000000002108,4109270,00000000000000000697,410927000744,6.75
2014-2015,41,OREGON,Ontario Middle School,00000000002108,4109270,00000000000000000698,410927000745,20.14
2014-2015,41,OREGON,Ontario High School,00000000002108,4109270,00000000000000000699,410927000746,37.80
2014-2015,41,OREGON,Beavercreek Elementary School,00000000001928,4109330,00000000000000000105,410933000112,21.34
2014-2015,41,OREGON,Candy Lane Elementary School,00000000001928,4109330,00000000000000000106,410933000113,12.80
2014-2015,41,OREGON,Holcomb Elementary School,00000000001928,4109330,00000000000000000107,410933000114,23.09
2014-2015,41,OREGON,Gaffney Lane Elementary School,00000000001928,4109330,00000000000000000109,410933000116,23.90
2014-2015,41,OREGON,Jennings Lodge Elementary School,00000000001928,4109330,00000000000000000110,410933000117,15.70
2014-2015,41,OREGON,John McLoughlin Elementary School,00000000001928,4109330,00000000000000000114,410933000122,20.46
2014-2015,41,OREGON,Gardiner Middle School,00000000001928,4109330,00000000000000000115,410933000123,37.47
2014-2015,41,OREGON,Ogden Middle School,00000000001928,4109330,00000000000000000116,410933000124,40.00
2014-2015,41,OREGON,Oregon City Senior High School,00000000001928,4109330,00000000000000000118,410933000126,97.20
2014-2015,41,OREGON,Redland Elementary School,00000000001928,4109330,00000000000000000139,410933000147,22.73
2014-2015,41,OREGON,Springwater Environmental Sciences School,00000000001928,4109330,00000000000000004480,410933001642,8.20
2014-2015,41,OREGON,Oregon City Service Learning Academy,00000000001928,4109330,00000000000000002735,410933001666,10.25
2014-2015,41,OREGON,Alliance Charter Academy,00000000001928,4109330,00000000000000004585,410933001725,21.69
2014-2015,41,OREGON,Clackamas Academy of Industrial Sciences,00000000001928,4109330,00000000000000004802,410933001793,9.40
2014-2015,41,OREGON,Paisley School,00000000002060,4109430,00000000000000003360,410943000521,4.86
2014-2015,41,OREGON,Prescott Elementary School,00000000002181,4109480,00000000000000000925,410948000979,18.79
2014-2015,41,OREGON,Russell Elementary,00000000002181,4109480,00000000000000000926,410948000980,20.63
2014-2015,41,OREGON,Sacramento Elementary School,00000000002181,4109480,00000000000000000927,410948000981,18.00
2014-2015,41,OREGON,Shaver Elementary School,00000000002181,4109480,00000000000000000928,410948000982,15.48
2014-2015,41,OREGON,Parkrose Middle School,00000000002181,4109480,00000000000000000930,410948000986,32.75
2014-2015,41,OREGON,Parkrose High School,00000000002181,4109480,00000000000000000931,410948000987,40.07
2014-2015,41,OREGON,Lincoln Primary School,00000000002207,4109510,00000000000000001046,410951001104,7.90
2014-2015,41,OREGON,McKay Creek Elementary School,00000000002207,4109510,00000000000000001047,410951001105,14.98
2014-2015,41,OREGON,Sherwood Heights Elementary School,00000000002207,4109510,00000000000000001048,410951001106,18.42
2014-2015,41,OREGON,Washington Elementary School,00000000002207,4109510,00000000000000001049,410951001107,17.80
2014-2015,41,OREGON,West Hills Intermediate,00000000002207,4109510,00000000000000001050,410951001108,9.30
2014-2015,41,OREGON,Pendleton High School,00000000002207,4109510,00000000000000001052,410951001111,37.22
2014-2015,41,OREGON,Sunridge Middle School,00000000002207,4109510,00000000000000001051,410951001327,33.74
2014-2015,41,OREGON,Nixyaawii Community School,00000000002207,4109510,00000000000000004202,410951001534,4.30
2014-2015,41,OREGON,Hawthorne Middle/High School,00000000002207,4109510,00000000000000004116,410951001689,2.40
2014-2015,41,OREGON,Perrydale School,00000000002192,4109530,00000000000000003378,410953001060,18.43
2014-2015,41,OREGON,Blodgett Elementary School,00000000001900,4109600,00000000000000000018,410960000020,2.39
2014-2015,41,OREGON,Kings Valley Charter School,00000000001900,4109600,00000000000000003440,410960000021,13.63
2014-2015,41,OREGON,Philomath Elementary School,00000000001900,4109600,00000000000000000020,410960000022,22.87
2014-2015,41,OREGON,Philomath Middle School,00000000001900,4109600,00000000000000000021,410960000023,16.23
2014-2015,41,OREGON,Philomath High School,00000000001900,4109600,00000000000000000022,410960000024,22.41
2014-2015,41,OREGON,Clemens Primary School,00000000001900,4109600,00000000000000003162,410960001481,4.42
2014-2015,41,OREGON,Phoenix Elementary School,00000000002039,4109630,00000000000000000371,410963000391,17.92
2014-2015,41,OREGON,Talent Elementary School,00000000002039,4109630,00000000000000000372,410963000392,23.86
2014-2015,41,OREGON,Talent Middle School,00000000002039,4109630,00000000000000000373,410963000393,27.98
2014-2015,41,OREGON,Phoenix High School,00000000002039,4109630,00000000000000000374,410963000394,34.87
2014-2015,41,OREGON,Orchard Hill Elementary School,00000000002039,4109630,00000000000000000370,410963001335,17.59
2014-2015,41,OREGON,Armadillo Technical Institute,00000000002039,4109630,00000000000000003247,410963001489,7.00
2014-2015,41,OREGON,Pilot Rock Elementary School,00000000002202,4109660,00000000000000001027,410966001085,8.00
2014-2015,41,OREGON,Pilot Rock High School,00000000002202,4109660,00000000000000001028,410966001086,10.00
2014-2015,41,OREGON,Pine Creek Elementary School,00000000002016,4109690,00000000000000000347,410969000366,1.00
2014-2015,41,OREGON,Pine Eagle Charter School,00000000001897,4109720,00000000000000000015,410972000016,14.04
2014-2015,41,OREGON,Pinehurst Elementary School,00000000002047,4109750,00000000000000000407,410975000427,2.37
2014-2015,41,OREGON,Pleasant Hill Elementary School,00000000002081,4109870,00000000000000000500,410987000527,22.98
2014-2015,41,OREGON,Pleasant Hill High School,00000000002081,4109870,00000000000000000502,410987000529,20.57
2014-2015,41,OREGON,Driftwood Elementary School,00000000001973,4110020,00000000000000000228,411002000246,7.51
2014-2015,41,OREGON,Pacific High School,00000000001973,4110020,00000000000000000229,411002000247,7.49
2014-2015,41,OREGON,Rieke Elementary School,00000000002180,4110040,00000000000000001299,411004000371,18.85
2014-2015,41,OREGON,Abernethy Elementary School,00000000002180,4110040,00000000000000000822,411004000865,24.75
2014-2015,41,OREGON,Ainsworth Elementary School,00000000002180,4110040,00000000000000000823,411004000866,26.38
2014-2015,41,OREGON,Alameda Elementary School,00000000002180,4110040,00000000000000000824,411004000867,35.34
2014-2015,41,OREGON,Arleta Elementary School,00000000002180,4110040,00000000000000000826,411004000869,30.54
2014-2015,41,OREGON,Astor Elementary School,00000000002180,4110040,00000000000000000827,411004000870,27.89
2014-2015,41,OREGON,Atkinson Elementary School,00000000002180,4110040,00000000000000000828,411004000871,23.27
2014-2015,41,OREGON,Rosa Parks Elementary School,00000000002180,4110040,00000000000000000829,411004000872,23.86
2014-2015,41,OREGON,Beach Elementary School,00000000002180,4110040,00000000000000000830,411004000873,33.72
2014-2015,41,OREGON,Beaumont Middle School,00000000002180,4110040,00000000000000000831,411004000874,28.00
2014-2015,41,OREGON,Boise-Eliot Elementary School,00000000002180,4110040,00000000000000000833,411004000876,32.00
2014-2015,41,OREGON,Bridger Elementary School,00000000002180,4110040,00000000000000000834,411004000877,25.50
2014-2015,41,OREGON,Bridlemile Elementary School,00000000002180,4110040,00000000000000000835,411004000878,21.75
2014-2015,41,OREGON,Buckman Elementary School,00000000002180,4110040,00000000000000000837,411004000880,23.45
2014-2015,41,OREGON,Capitol Hill Elementary School,00000000002180,4110040,00000000000000000838,411004000881,19.99
2014-2015,41,OREGON,Chapman Elementary School,00000000002180,4110040,00000000000000000839,411004000882,31.93
2014-2015,41,OREGON,Cesar Chavez K-8 School,00000000002180,4110040,00000000000000000841,411004000884,29.08
2014-2015,41,OREGON,Harrison Park School,00000000002180,4110040,00000000000000000842,411004000885,47.32
2014-2015,41,OREGON,Creston Elementary School,00000000002180,4110040,00000000000000000843,411004000886,20.02
2014-2015,41,OREGON,Duniway Elementary School,00000000002180,4110040,00000000000000000844,411004000887,22.25
2014-2015,41,OREGON,Faubion Elementary School,00000000002180,4110040,00000000000000000847,411004000890,26.80
2014-2015,41,OREGON,George Middle School,00000000002180,4110040,00000000000000000849,411004000893,26.11
2014-2015,41,OREGON,Glencoe Elementary School,00000000002180,4110040,00000000000000000850,411004000894,22.00
2014-2015,41,OREGON,Gray Middle School,00000000002180,4110040,00000000000000000852,411004000896,24.58
2014-2015,41,OREGON,Grout Elementary School,00000000002180,4110040,00000000000000000854,411004000898,23.19
2014-2015,41,OREGON,Hayhurst Elementary School,00000000002180,4110040,00000000000000000855,411004000899,22.38
2014-2015,41,OREGON,Beverly Cleary School,00000000002180,4110040,00000000000000000857,411004000901,32.50
2014-2015,41,OREGON,Hosford Middle School,00000000002180,4110040,00000000000000000858,411004000902,30.29
2014-2015,41,OREGON,Irvington Elementary School,00000000002180,4110040,00000000000000000861,411004000905,27.40
2014-2015,41,OREGON,James John Elementary School,00000000002180,4110040,00000000000000000862,411004000906,25.28
2014-2015,41,OREGON,Kelly Elementary School,00000000002180,4110040,00000000000000000864,411004000909,38.67
2014-2015,41,OREGON,King Elementary School,00000000002180,4110040,00000000000000000866,411004000911,26.90
2014-2015,41,OREGON,Lane Middle School,00000000002180,4110040,00000000000000001243,411004000912,31.89
2014-2015,41,OREGON,Laurelhurst Elementary School,00000000002180,4110040,00000000000000000868,411004000913,30.87
2014-2015,41,OREGON,Lee Elementary School,00000000002180,4110040,00000000000000000869,411004000914,29.44
2014-2015,41,OREGON,Lent Elementary School,00000000002180,4110040,00000000000000000870,411004000915,37.17
2014-2015,41,OREGON,Lewis Elementary School,00000000002180,4110040,00000000000000000871,411004000916,20.77
2014-2015,41,OREGON,Llewellyn Elementary School,00000000002180,4110040,00000000000000000872,411004000917,26.99
