school_year,fipst,statename,sch_name,st_leaid,leaid,st_schid,ncessch,teachers
2014-2015,41,OREGON,Imlay Elementary School,00000000002239,4100023,00000000000000003536,410002304174,21.20
2014-2015,41,OREGON,Hilda Lahti Elementary School,00000000002262,4100040,00000000000000000166,410004000176,16.99
2014-2015,41,OREGON,Knappa High School,00000000002262,4100040,00000000000000000169,410004000179,10.67
2014-2015,41,OREGON,Robert S Farrell High School,00000000003477,4100043,00000000000000001827,410004300490,4.34
2014-2015,41,OREGON,William P Lord High School,00000000003477,4100043,00000000000000001828,410004300494,6.96
2014-2015,41,OREGON,Monroe School,00000000003477,4100043,00000000000000002258,410004301404,2.48
2014-2015,41,OREGON,Newbridge High School,00000000003477,4100043,00000000000000002260,410004301406,7.00
2014-2015,41,OREGON,Ocean Dunes High School,00000000003477,4100043,00000000000000002387,410004301412,0.30
2014-2015,41,OREGON,South Jetty High School,00000000003477,4100043,00000000000000002385,410004301476,2.50
2014-2015,41,OREGON,RiverBend High School,00000000003477,4100043,00000000000000002386,410004301477,2.00
2014-2015,41,OREGON,Trask River High School,00000000003477,4100043,00000000000000004588,410004301740,5.15
2014-2015,41,OREGON,Three Lakes High School,00000000003477,4100043,00000000000000004609,410004301744,2.28
2014-2015,41,OREGON,Chenowith Elementary School,00000000004131,4100048,00000000000000001093,410004801151,25.00
2014-2015,41,OREGON,Mosier Community School,00000000004131,4100048,00000000000000001095,410004801153,7.39
2014-2015,41,OREGON,Colonel Wright Elementary School,00000000004131,4100048,00000000000000001097,410004801155,18.95
2014-2015,41,OREGON,Dry Hollow Elementary School,00000000004131,4100048,00000000000000001098,410004801156,25.30
2014-2015,41,OREGON,The Dalles Middle School,00000000004131,4100048,00000000000000001100,410004801158,29.14
2014-2015,41,OREGON,The Dalles High School,00000000004131,4100048,00000000000000001101,410004801159,67.97
2014-2015,41,OREGON,Mosier Middle School,00000000004131,4100048,00000000000000004849,410004801806,4.00
2014-2015,41,OREGON,Wahtonka Community School,00000000004131,4100048,00000000000000005250,410004801833,1.00
2014-2015,41,OREGON,Myrtle Crest School,00000000001968,4100640,00000000000000000214,410064000233,19.05
2014-2015,41,OREGON,Myrtle Point High School,00000000001968,4100640,00000000000000000215,410064000234,20.54
2014-2015,41,OREGON,Adel Elementary School,00000000002063,4100990,00000000000000000498,410099000524,1.00
2014-2015,41,OREGON,Adrian Elementary School,00000000002113,4101020,00000000000000000707,410102000755,10.54
2014-2015,41,OREGON,Adrian High School,00000000002113,4101020,00000000000000000708,410102000756,6.15
2014-2015,41,OREGON,Oak Grove Elementary School,00000000002100,4101120,00000000000000000639,410112000017,13.40
2014-2015,41,OREGON,North Albany Elementary School,00000000002100,4101120,00000000000000000637,410112000029,11.25
2014-2015,41,OREGON,Central Elementary School,00000000002100,4101120,00000000000000000631,410112000669,7.55
2014-2015,41,OREGON,Lafayette Elementary School,00000000002100,4101120,00000000000000000640,410112000670,16.50
2014-2015,41,OREGON,Liberty Elementary School,00000000002100,4101120,00000000000000000641,410112000671,15.68
2014-2015,41,OREGON,Oak Elementary School,00000000002100,4101120,00000000000000000643,410112000672,14.19
2014-2015,41,OREGON,Sunrise Elementary School,00000000002100,4101120,00000000000000000644,410112000673,22.73
2014-2015,41,OREGON,South Shore Elementary School,00000000002100,4101120,00000000000000000645,410112000674,23.88
2014-2015,41,OREGON,Takena Elementary School,00000000002100,4101120,00000000000000000647,410112000675,8.18
2014-2015,41,OREGON,Waverly Elementary School,00000000002100,4101120,00000000000000000648,410112000676,15.42
2014-2015,41,OREGON,Periwinkle Elementary School,00000000002100,4101120,00000000000000000636,410112000680,18.60
2014-2015,41,OREGON,Tangent Elementary School,00000000002100,4101120,00000000000000000646,410112000692,7.46
2014-2015,41,OREGON,Clover Ridge Elementary School,00000000002100,4101120,00000000000000000633,410112000725,11.30
2014-2015,41,OREGON,Calapooia Middle School,00000000002100,4101120,00000000000000000632,410112000732,28.08
2014-2015,41,OREGON,Memorial Middle School,00000000002100,4101120,00000000000000000642,410112000733,25.59
2014-2015,41,OREGON,North Albany Middle School,00000000002100,4101120,00000000000000000638,410112000734,25.93
2014-2015,41,OREGON,West Albany High School,00000000002100,4101120,00000000000000000649,410112000735,57.70
2014-2015,41,OREGON,South Albany High School,00000000002100,4101120,00000000000000000650,410112000736,60.72
2014-2015,41,OREGON,Albany Options School,00000000002100,4101120,00000000000000003950,410112001577,6.75
2014-2015,41,OREGON,Timber Ridge School,00000000002100,4101120,00000000000000004744,410112001773,31.10
2014-2015,41,OREGON,Alsea High School,00000000001899,4101200,00000000000000000017,410120000019,5.00
2014-2015,41,OREGON,Alsea Elementary School,00000000001899,4101200,00000000000000000016,410120001502,5.20
2014-2015,41,OREGON,Amity Elementary School,00000000002252,4101230,00000000000000001208,410123001260,19.48
2014-2015,41,OREGON,Amity High School,00000000002252,4101230,00000000000000001210,410123001263,15.97
2014-2015,41,OREGON,Amity Middle School,00000000002252,4101230,00000000000000001209,410123001320,10.49
2014-2015,41,OREGON,Eola Hills Charter School,00000000002252,4101230,00000000000000004505,410123001653,6.00
2014-2015,41,OREGON,Annex Charter School,00000000002111,4101350,00000000000000000705,410135000753,4.76
2014-2015,41,OREGON,Arlington Community Charter School,00000000002005,4101470,00000000000000000323,410147000343,11.00
2014-2015,41,OREGON,Bellview Elementary School,00000000002041,4101560,00000000000000000375,410156000395,16.04
2014-2015,41,OREGON,Helman Elementary School,00000000002041,4101560,00000000000000000377,410156000397,15.32
2014-2015,41,OREGON,Walker Elementary School,00000000002041,4101560,00000000000000000379,410156000399,15.57
2014-2015,41,OREGON,Ashland Middle School,00000000002041,4101560,00000000000000000380,410156000400,29.04
2014-2015,41,OREGON,Ashland High School,00000000002041,4101560,00000000000000000381,410156000401,46.20
2014-2015,41,OREGON,John Muir Elementary School,00000000002041,4101560,00000000000000004476,410156001654,5.03
2014-2015,41,OREGON,Ashwood Elementary School,00000000002051,4101590,00000000000000000427,410159000448,1.00
2014-2015,41,OREGON,Astor Elementary School,00000000001933,4101620,00000000000000000143,410162000152,24.00
2014-2015,41,OREGON,Astoria Middle School,00000000001933,4101620,00000000000000000144,410162000153,23.55
2014-2015,41,OREGON,Astoria Senior High School,00000000001933,4101620,00000000000000000146,410162000155,29.58
2014-2015,41,OREGON,Lewis & Clark Elementary School,00000000001933,4101620,00000000000000000147,410162000156,20.82
2014-2015,41,OREGON,Athena Elementary School,00000000002208,4101660,00000000000000001053,410166001112,9.50
2014-2015,41,OREGON,Weston Middle School,00000000002208,4101660,00000000000000001055,410166001114,13.00
2014-2015,41,OREGON,Weston-McEwen High School,00000000002208,4101660,00000000000000001056,410166001115,11.50
2014-2015,41,OREGON,Baker Middle School,00000000001894,4101710,00000000000000000001,410171000001,11.16
2014-2015,41,OREGON,Brooklyn Primary School,00000000001894,4101710,00000000000000000002,410171000002,25.89
2014-2015,41,OREGON,South Baker Intermediate School,00000000001894,4101710,00000000000000000007,410171000007,14.60
2014-2015,41,OREGON,Baker High School,00000000001894,4101710,00000000000000000008,410171000009,25.34
2014-2015,41,OREGON,Haines Elementary School,00000000001894,4101710,00000000000000000004,410171000030,7.46
2014-2015,41,OREGON,Keating Elementary School,00000000001894,4101710,00000000000000000005,410171000034,1.56
2014-2015,41,OREGON,EAGLE CAP Innovative HS,00000000001894,4101710,00000000000000003493,410171001516,1.17
2014-2015,41,OREGON,Baker Web Academy,00000000001894,4101710,00000000000000004728,410171001767,22.60
2014-2015,41,OREGON,Harbor Lights Middle School,00000000001969,4101800,00000000000000000216,410180000235,11.01
2014-2015,41,OREGON,Ocean Crest Elementary School,00000000001969,4101800,00000000000000000217,410180000236,12.85
2014-2015,41,OREGON,Bandon Senior High School,00000000001969,4101800,00000000000000000218,410180000237,15.64
2014-2015,41,OREGON,Banks Elementary School,00000000002240,4101830,00000000000000001120,410183001176,22.60
2014-2015,41,OREGON,Banks Middle School,00000000002240,4101830,00000000000000001123,410183001179,11.16
2014-2015,41,OREGON,Banks High School,00000000002240,4101830,00000000000000001124,410183001180,17.58
2014-2015,41,OREGON,Nancy Ryles Elementary School,00000000002243,4101920,00000000000000001303,410192000210,25.52
